,jelly_fish,human,artificial_intelligence,virus,rock,robot,chimpanzee,god,autonomous_car,computer
jelly_fish,,0.9803921568627451,0.7647058823529411,0.6176470588235294,0.18627450980392157,0.696078431372549,0.8921568627450981,0.7254901960784313,0.6764705882352942,0.7254901960784313
human,0.0196078431372549,,0.29411764705882354,0.23529411764705882,0.029411764705882353,0.17647058823529413,0.09803921568627451,0.39215686274509803,0.22549019607843138,0.22549019607843138
artificial_intelligence,0.23529411764705882,0.7058823529411765,,0.3235294117647059,0.049019607843137254,0.18627450980392157,0.3431372549019608,0.5,0.19607843137254902,0.20588235294117646
virus,0.38235294117647056,0.7647058823529411,0.6764705882352942,,0.06862745098039216,0.5588235294117647,0.5490196078431373,0.6078431372549019,0.47058823529411764,0.5294117647058824
rock,0.8137254901960784,0.9705882352941176,0.9509803921568627,0.9313725490196079,,0.9313725490196079,0.8431372549019608,0.7549019607843137,0.9313725490196079,0.9313725490196079
robot,0.30392156862745096,0.8235294117647058,0.8137254901960784,0.4411764705882353,0.06862745098039216,,0.43137254901960786,0.5588235294117647,0.5,0.4803921568627451
chimpanzee,0.10784313725490197,0.9019607843137255,0.6568627450980392,0.45098039215686275,0.1568627450980392,0.5686274509803921,,0.6176470588235294,0.5392156862745098,0.5980392156862745
god,0.27450980392156865,0.6078431372549019,0.5,0.39215686274509803,0.24509803921568626,0.4411764705882353,0.38235294117647056,,0.4215686274509804,0.47058823529411764
autonomous_car,0.3235294117647059,0.7745098039215687,0.803921568627451,0.5294117647058824,0.06862745098039216,0.5,0.46078431372549017,0.5784313725490197,,0.6274509803921569
computer,0.27450980392156865,0.7745098039215687,0.7941176470588235,0.47058823529411764,0.06862745098039216,0.5196078431372549,0.4019607843137255,0.5294117647058824,0.37254901960784315,
