,jelly_fish,human,artificial_intelligence,virus,rock,robot,chimpanzee,god,autonomous_car,computer
jelly_fish,,5853.520588247234,6824.926470587351,7072.721568617036,8791.916666660702,7249.637254898585,6577.526470579466,6849.918627457332,6701.0764705854235,10194.173529410915
human,5853.520588247234,,9253.12843137507,10501.015686277406,14109.268627451589,8570.911764703347,141814.64215686743,6751.465686280371,7961.697058820465,6000.000000001633
artificial_intelligence,6824.926470587351,9253.12843137507,,8230.781372552243,6783.004901954779,9720.44803921365,8714.486274503935,13038.389215694648,8505.153921569226,8422.602941181036
virus,7072.721568617036,10501.015686277406,8230.781372552243,,11666.048039212825,9295.668627445419,6837.460784311136,7860.260784306828,9505.667647058746,9036.408823531028
rock,8791.916666660702,14109.268627451589,6783.004901954779,11666.048039212825,,7125.473529409509,7010.647058827063,9434.527450982485,7406.475490196026,10012.416666659408
robot,7249.637254898585,8570.911764703347,9720.44803921365,9295.668627445419,7125.473529409509,,10541.930392157767,6269.838235308066,7616.995098035261,7476.650980395041
chimpanzee,6577.526470579466,141814.64215686743,8714.486274503935,6837.460784311136,7010.647058827063,10541.930392157767,,11313.250980391247,7561.232352942064,7209.550000000305
god,6849.918627457332,6751.465686280371,13038.389215694648,7860.260784306828,9434.527450982485,6269.838235308066,11313.250980391247,,6441.609803918786,8234.453921576853
autonomous_car,6701.0764705854235,7961.697058820465,8505.153921569226,9505.667647058746,7406.475490196026,7616.995098035261,7561.232352942064,6441.609803918786,,6862.477450989573
computer,10194.173529410915,6000.000000001633,8422.602941181036,9036.408823531028,10012.416666659408,7476.650980395041,7209.550000000305,8234.453921576853,6862.477450989573,
