part_id,word,jelly_fish,human,artificial_intelligence,virus,rock,robot,chimpanzee,god,autonomous_car,computer
5521538.0,jelly_fish,,2306.0,35334.0,29066.0,9657.0,3842.0,4521.0,8154.0,5297.0,11867.0
5521538.0,human,2306.0,,8915.0,6919.0,5518.0,2548.0,3840.0,20963.0,2775.0,2446.0
5521538.0,artificial_intelligence,35334.0,8915.0,,10312.0,4854.0,21258.0,4908.0,13374.0,6458.0,4746.0
5521538.0,virus,29066.0,6919.0,10312.0,,5241.0,3577.0,3485.0,3363.0,2930.0,8858.0
5521538.0,rock,9657.0,5518.0,4854.0,5241.0,,2997.0,5058.0,3014.0,3753.0,8312.0
5521538.0,robot,3842.0,2548.0,21258.0,3577.0,2997.0,,8242.0,4439.0,4571.0,9657.0
5521538.0,chimpanzee,4521.0,3840.0,4908.0,3485.0,5058.0,8242.0,,8700.0,8922.0,7784.0
5521538.0,god,8154.0,20963.0,13374.0,3363.0,3014.0,4439.0,8700.0,,3310.0,3376.0
5521538.0,autonomous_car,5297.0,2775.0,6458.0,2930.0,3753.0,4571.0,8922.0,3310.0,,13842.0
5521538.0,computer,11867.0,2446.0,4746.0,8858.0,8312.0,9657.0,7784.0,3376.0,13842.0,
5521541.0,jelly_fish,,10241.19999998808,4445.5,3615.0,7388.800000011921,3008.199999988079,3923.400000035763,4830.699999988079,15045.399999976158,5428.899999976158
5521541.0,human,10241.19999998808,,3944.599999964237,2168.100000023842,12620.80000001192,2264.0,2707.600000023842,3286.0,3279.0,4754.600000023842
5521541.0,artificial_intelligence,4445.5,3944.599999964237,,2035.899999976158,4579.0,7174.900000035763,2083.199999988079,3833.399999976158,5657.300000011921,4975.0
5521541.0,virus,3615.0,2168.100000023842,2035.899999976158,,4747.599999964237,2363.800000011921,8949.699999988079,3077.199999988079,2383.600000023842,3587.599999964237
5521541.0,rock,7388.800000011921,12620.80000001192,4579.0,4747.599999964237,,14307.5,2458.100000023842,8557.5,4583.0,2645.5
5521541.0,robot,3008.199999988079,2264.0,7174.900000035763,2363.800000011921,14307.5,,2440.5,4488.5,2718.800000011921,5947.5
5521541.0,chimpanzee,3923.400000035763,2707.600000023842,2083.199999988079,8949.699999988079,2458.100000023842,2440.5,,3789.600000023842,2793.2999999523163,3331.199999988079
5521541.0,god,4830.699999988079,3286.0,3833.399999976158,3077.199999988079,8557.5,4488.5,3789.600000023842,,2842.699999988079,6923.300000011921
5521541.0,autonomous_car,15045.399999976158,3279.0,5657.300000011921,2383.600000023842,4583.0,2718.800000011921,2793.2999999523163,2842.699999988079,,9418.900000035765
5521541.0,computer,5428.899999976158,4754.600000023842,4975.0,3587.599999964237,2645.5,5947.5,3331.199999988079,6923.300000011921,9418.900000035765,
5521539.0,jelly_fish,,3776.09999999404,5760.79999999702,7062.10000000149,7748.60000000149,18364.89999999851,7182.70000000298,3641.10000000149,17861.39999999851,5596.29999999702
5521539.0,human,3776.09999999404,,6867.39999999851,5196.29999999702,5884.9000000059605,6426.0,10770.10000000149,7869.60000000149,4742.69999999553,4877.30000000447
5521539.0,artificial_intelligence,5760.79999999702,6867.39999999851,,6790.10000000149,5686.29999999702,9464.70000000298,7598.20000000298,12355.0,14503.79999999702,15600.70000000298
5521539.0,virus,7062.10000000149,5196.29999999702,6790.10000000149,,9869.29999999702,24873.60000000149,15024.20000000298,6948.80000000447,10116.59999999404,8186.69999999553
5521539.0,rock,7748.60000000149,5884.9000000059605,5686.29999999702,9869.29999999702,,7957.10000000149,6284.0,5057.89999999851,16149.79999999702,5323.79999999702
5521539.0,robot,18364.89999999851,6426.0,9464.70000000298,24873.60000000149,7957.10000000149,,7258.89999999851,6056.5,29341.0,9356.30000000447
5521539.0,chimpanzee,7182.70000000298,10770.10000000149,7598.20000000298,15024.20000000298,6284.0,7258.89999999851,,8508.60000000149,13026.10000000149,6161.70000000298
5521539.0,god,3641.10000000149,7869.60000000149,12355.0,6948.80000000447,5057.89999999851,6056.5,8508.60000000149,,5832.10000000149,6929.0
5521539.0,autonomous_car,17861.39999999851,4742.69999999553,14503.79999999702,10116.59999999404,16149.79999999702,29341.0,13026.10000000149,5832.10000000149,,10673.89999999851
5521539.0,computer,5596.29999999702,4877.30000000447,15600.70000000298,8186.69999999553,5323.79999999702,9356.30000000447,6161.70000000298,6929.0,10673.89999999851,
5521551.0,jelly_fish,,2735.0,4445.0,2493.0,3619.0,3383.0,11145.0,2172.0,4950.0,2311.0
5521551.0,human,2735.0,,3200.0,4095.0,3949.0,2662.0,4337.0,2586.0,4642.0,3045.0
5521551.0,artificial_intelligence,4445.0,3200.0,,3626.0,4761.0,2822.0,3374.0,2116.0,6214.0,4888.0
5521551.0,virus,2493.0,4095.0,3626.0,,6401.0,9488.0,2720.0,2285.0,14474.0,5247.0
5521551.0,rock,3619.0,3949.0,4761.0,6401.0,,3086.0,2765.0,2995.0,5866.0,37943.0
5521551.0,robot,3383.0,2662.0,2822.0,9488.0,3086.0,,4711.0,5945.0,4279.0,4920.0
5521551.0,chimpanzee,11145.0,4337.0,3374.0,2720.0,2765.0,4711.0,,2037.0,2178.0,2804.0
5521551.0,god,2172.0,2586.0,2116.0,2285.0,2995.0,5945.0,2037.0,,2686.0,2630.0
5521551.0,autonomous_car,4950.0,4642.0,6214.0,14474.0,5866.0,4279.0,2178.0,2686.0,,2553.0
5521551.0,computer,2311.0,3045.0,4888.0,5247.0,37943.0,4920.0,2804.0,2630.0,2553.0,
5521552.0,jelly_fish,,7059.0,11491.0,11237.0,4977.0,6793.0,10444.0,5575.000000000058,13917.0,13234.0
5521552.0,human,7059.0,,5683.0,5534.0,9656.0,5443.0,5742.0,11747.999999999984,14472.0,17129.0
5521552.0,artificial_intelligence,11491.0,5683.0,,6992.0,7793.999999999971,6772.0,7595.000000000058,8891.0,4188.0,8359.0
