,Sex,Sex-quantised,Sex-text,age,religiosity
5521538.0,Female,1,,19,24
5521541.0,Male,2,,21,52
5521539.0,Male,2,,21,37
5521563.0,Female,1,,23,26
5521551.0,Male,2,,33,2
5521552.0,Female,1,,26,38
5521547.0,Male,2,,27,50
5521561.0,Male,2,,27,51
5521566.0,Male,2,,21,0
5521554.0,Female,1,,20,58
5521548.0,Male,2,,21,99
5521570.0,Male,2,,28,0
5521560.0,Female,1,,20,62
5521568.0,Male,2,,21,14
5521573.0,Male,2,,35,6
5521577.0,Female,1,,42,50
5521578.0,Female,1,,20,5
5521585.0,Female,1,,18,91
5521582.0,Female,1,,19,100
5521587.0,Male,2,,25,7
5521584.0,Male,2,,30,56
5521592.0,Male,2,,25,70
5521591.0,Female,1,,24,30
5521597.0,Male,2,,21,27
5521598.0,Male,2,,23,43
5521603.0,Female,1,,26,8
5521601.0,Male,2,,29,28
5521600.0,Male,2,,36,50
5521608.0,Male,2,,23,8
5521604.0,Female,1,,48,64
5521605.0,Female,1,,23,100
5521606.0,Female,1,,22,14
5521618.0,Female,1,,21,38
5521596.0,Male,2,,22,12
5521617.0,Female,1,,20,18
5521626.0,Female,1,,26,0
5521624.0,Female,1,,32,50
5521623.0,Male,2,,58,0
5521630.0,Male,2,,43,64
5521583.0,Female,1,,21,61
5521635.0,Male,2,,21,66
5521602.0,Male,2,,21,15
5521621.0,Female,1,,24,0
5521610.0,Female,1,,20,9
5521593.0,Male,2,,31,57
5522038.0,Female,1,,41,0
5522033.0,Female,1,,21,52
5522048.0,Male,2,,20,85
5522396.0,Female,1,,19,50
5522394.0,Female,1,,42,78
5522400.0,Female,1,,22,0
5522616.0,Female,1,,29,97
