,chimpanzee,jelly_fish,autonomous_car,virus,human,robot,rock,artificial_intelligence,god,computer
chimpanzee,,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.9038461538461539,0.4807692307692308,0.11538461538461539,0.6153846153846154,0.6346153846153846,0.5576923076923077
jelly_fish,0.9230769230769231,,0.6538461538461539,0.6153846153846154,1.0,0.6730769230769231,0.19230769230769232,0.6923076923076923,0.7692307692307693,0.6923076923076923
autonomous_car,0.46153846153846156,0.34615384615384615,,0.5384615384615384,0.8461538461538461,0.5192307692307693,0.057692307692307696,0.75,0.5769230769230769,0.6346153846153846
virus,0.6153846153846154,0.38461538461538464,0.46153846153846156,,0.8269230769230769,0.5192307692307693,0.057692307692307696,0.6346153846153846,0.6730769230769231,0.5
human,0.09615384615384616,0.0,0.15384615384615385,0.17307692307692307,,0.15384615384615385,0.019230769230769232,0.17307692307692307,0.3076923076923077,0.19230769230769232
robot,0.5192307692307693,0.3269230769230769,0.4807692307692308,0.4807692307692308,0.8461538461538461,,0.038461538461538464,0.7307692307692307,0.5576923076923077,0.5
rock,0.8846153846153846,0.8076923076923077,0.9423076923076923,0.9423076923076923,0.9807692307692307,0.9615384615384616,,0.9615384615384616,0.7692307692307693,0.9807692307692307
artificial_intelligence,0.38461538461538464,0.3076923076923077,0.25,0.36538461538461536,0.8269230769230769,0.2692307692307692,0.038461538461538464,,0.5,0.2692307692307692
god,0.36538461538461536,0.23076923076923078,0.4230769230769231,0.3269230769230769,0.6923076923076923,0.4423076923076923,0.23076923076923078,0.5,,0.4230769230769231
computer,0.4423076923076923,0.3076923076923077,0.36538461538461536,0.5,0.8076923076923077,0.5,0.019230769230769232,0.7307692307692307,0.5769230769230769,
