,jelly_fish,human,artificial_intelligence,virus,rock,robot,chimpanzee,god,autonomous_car,computer
jelly_fish,,2.3333333333333335,1.1666666666666667,0.6078431372549019,-1.2843137254901962,0.9705882352941176,1.4019607843137254,1.107843137254902,0.7549019607843137,1.0686274509803921
human,-2.3333333333333335,,-0.9901960784313726,-1.2549019607843137,-2.4313725490196076,-1.5196078431372548,-1.7352941176470589,-0.4215686274509804,-1.392156862745098,-1.2843137254901962
artificial_intelligence,-1.1666666666666667,0.9901960784313726,,-0.6666666666666666,-2.088235294117647,-1.303921568627451,-0.7254901960784313,0.27450980392156865,-1.2745098039215685,-1.1666666666666667
virus,-0.6078431372549019,1.2549019607843137,0.6666666666666666,,-1.6666666666666667,0.21568627450980393,0.12745098039215685,0.5196078431372549,-0.0784313725490196,0.18627450980392157
rock,1.2843137254901962,2.4313725490196076,2.088235294117647,1.6666666666666667,,1.8235294117647058,1.6862745098039216,1.303921568627451,1.803921568627451,1.9705882352941178
robot,-0.9705882352941176,1.5196078431372548,1.303921568627451,-0.21568627450980393,-1.8235294117647058,,-0.1568627450980392,0.5098039215686274,-0.06862745098039216,-0.029411764705882353
chimpanzee,-1.4019607843137254,1.7352941176470589,0.7254901960784313,-0.12745098039215685,-1.6862745098039216,0.1568627450980392,,0.6862745098039216,0.0784313725490196,0.5098039215686274
god,-1.107843137254902,0.4215686274509804,-0.27450980392156865,-0.5196078431372549,-1.303921568627451,-0.5098039215686274,-0.6862745098039216,,-0.5294117647058824,-0.3627450980392157
autonomous_car,-0.7549019607843137,1.392156862745098,1.2745098039215685,0.0784313725490196,-1.803921568627451,0.06862745098039216,-0.0784313725490196,0.5294117647058824,,0.46078431372549017
computer,-1.0686274509803921,1.2843137254901962,1.1666666666666667,-0.18627450980392157,-1.9705882352941178,0.029411764705882353,-0.5098039215686274,0.3627450980392157,-0.46078431372549017,
