,jelly_fish,human,artificial_intelligence,virus,rock,robot,chimpanzee,god,autonomous_car,computer
jelly_fish,,0.803921568627451,0.7352941176470589,0.7058823529411765,0.6764705882352942,0.7549019607843137,0.7843137254901961,0.6470588235294118,0.696078431372549,0.696078431372549
human,0.803921568627451,,0.9607843137254902,0.8431372549019608,0.8235294117647058,0.9607843137254902,0.9705882352941176,0.8921568627450981,0.8725490196078431,0.9117647058823529
artificial_intelligence,0.7352941176470589,0.9607843137254902,,0.7745098039215687,0.7549019607843137,0.8921568627450981,0.8627450980392157,0.7745098039215687,0.8823529411764706,0.8921568627450981
virus,0.7058823529411765,0.8431372549019608,0.7745098039215687,,0.6274509803921569,0.7647058823529411,0.6764705882352942,0.7058823529411765,0.6568627450980392,0.7450980392156863
rock,0.6764705882352942,0.8235294117647058,0.7549019607843137,0.6274509803921569,,0.7352941176470589,0.7156862745098039,0.6176470588235294,0.6862745098039216,0.7450980392156863
robot,0.7549019607843137,0.9607843137254902,0.8921568627450981,0.7647058823529411,0.7352941176470589,,0.8725490196078431,0.7058823529411765,0.8431372549019608,0.8921568627450981
chimpanzee,0.7843137254901961,0.9705882352941176,0.8627450980392157,0.6764705882352942,0.7156862745098039,0.8725490196078431,,0.7941176470588235,0.7745098039215687,0.8137254901960784
god,0.6470588235294118,0.8921568627450981,0.7745098039215687,0.7058823529411765,0.6176470588235294,0.7058823529411765,0.7941176470588235,,0.7156862745098039,0.7647058823529411
autonomous_car,0.696078431372549,0.8725490196078431,0.8823529411764706,0.6568627450980392,0.6862745098039216,0.8431372549019608,0.7745098039215687,0.7156862745098039,,0.8529411764705882
computer,0.696078431372549,0.9117647058823529,0.8921568627450981,0.7450980392156863,0.7450980392156863,0.8921568627450981,0.8137254901960784,0.7647058823529411,0.8529411764705882,
