participantId,trial,stage,option1,option2,choice,planet,chosenEntity,attentionPassed
9794,1,1,reaction,movement,movement,Xandarion,Z,3
9794,1,2,communication,replication,communication,Xandarion,Z1,3
9794,1,3,learning,monitoring,learning,Xandarion,Z1-X,3
9794,2,1,monitoring,replication,monitoring,Novera,O,3
9794,2,2,movement,communication,communication,Novera,O2,3
9794,2,3,learning,reaction,reaction,Novera,O2-Y,3
9794,3,1,replication,movement,movement,Quasaris,S,3
9794,3,2,communication,monitoring,communication,Quasaris,S1,3
9794,3,3,learning,reaction,learning,Quasaris,S1-X,3
9794,4,1,replication,learning,learning,Ignistel,K,3
9794,4,2,movement,communication,movement,Ignistel,K1,3
9794,4,3,monitoring,reaction,monitoring,Ignistel,K1-X,3
9794,6,1,monitoring,learning,monitoring,Crysallithoria,D,3
9794,6,2,reaction,communication,reaction,Crysallithoria,D1,3
9794,6,3,movement,replication,movement,Crysallithoria,D1-X,3
9794,7,1,reaction,monitoring,reaction,Zephyronix,A,3
9794,7,2,communication,learning,communication,Zephyronix,A1,3
9794,7,3,movement,replication,movement,Zephyronix,A1-X,3
9794,8,1,learning,reaction,reaction,Aurorion,C,3
9794,8,2,communication,monitoring,communication,Aurorion,C1,3
9794,8,3,movement,replication,movement,Aurorion,C1-X,3
9794,9,1,movement,communication,communication,Cygnarion,E,3
9794,9,2,learning,reaction,reaction,Cygnarion,E2,3
9794,9,3,monitoring,replication,replication,Cygnarion,E2-Y,3
9794,11,1,monitoring,communication,communication,Hyperioni,J,3
9794,11,2,learning,reaction,reaction,Hyperioni,J2,3
9794,11,3,movement,replication,movement,Hyperioni,J2-X,3
9794,12,1,reaction,communication,reaction,Quasarion,R,3
9794,12,2,learning,monitoring,monitoring,Quasarion,R2,3
9794,12,3,movement,replication,movement,Quasarion,R2-X,3
9794,13,1,learning,communication,communication,Veridian,X,3
9794,13,2,reaction,monitoring,reaction,Veridian,X1,3
9794,13,3,movement,replication,movement,Veridian,X1-X,3
9794,14,1,reaction,replication,replication,Valtorium,X,3
9794,14,2,movement,communication,movement,Valtorium,X1,3
9794,14,3,monitoring,learning,monitoring,Valtorium,X1-X,3
9794,16,1,movement,learning,movement,Novaraxis,O,3
9794,16,2,communication,replication,communication,Novaraxis,O1,3
9794,16,3,monitoring,reaction,reaction,Novaraxis,O1-Y,3
9794,17,1,monitoring,movement,movement,Pyrosa,R,3
9794,17,2,reaction,learning,reaction,Pyrosa,R1,3
