,Sex,Sex-quantised,Sex-text,age,religiosity
6136142.0,Female,1,,22,0
6136145.0,Female,1,,23,50
6136146.0,Female,1,,24,7
6136153.0,Female,1,,24,11
6136151.0,Female,1,,24,0
6136160.0,Female,1,,23,0
6136156.0,Male,2,,21,25
6136158.0,Female,1,,39,50
6136154.0,Male,2,,30,0
6136170.0,Male,2,,18,0
6136164.0,Female,1,,22,50
6136171.0,Female,1,,20,4
6136148.0,Female,1,,33,73
6136168.0,Male,2,,22,28
6136173.0,Male,2,,28,31
6136165.0,Male,2,,37,50
6136167.0,Female,1,,18,100
6136183.0,Prefer Not To Say,3,,20,0
6136177.0,Male,2,,19,9
6136162.0,Male,2,,35,26
6136188.0,Female,1,,22,0
6136189.0,Female,1,,23,1
6136182.0,Female,1,,22,0
6136178.0,Male,2,,26,0
6136199.0,Male,2,,20,34
6136197.0,Female,1,,19,9
6136187.0,Female,1,,25,19
6136193.0,Male,2,,33,9
6136186.0,Female,1,,22,61
6136196.0,Female,1,,25,50
6136190.0,Female,1,,24,72
6136201.0,Male,2,,21,0
6136195.0,Female,1,,19,10
6136192.0,Female,1,,20,0
6136179.0,Male,2,,30,15
6136202.0,Male,2,,27,0
6136194.0,Female,1,,26,28
6136208.0,Male,2,,19,8
6136169.0,Female,1,,22,75
6136174.0,Female,1,,32,81
6136172.0,Male,2,,21,82
6136213.0,Female,1,,25,81
6136222.0,Male,2,,34,2
6136209.0,Female,1,,25,85
6136217.0,Female,1,,26,3
6136205.0,Female,1,,24,0
6136228.0,Male,2,,20,7
6136216.0,Male,2,,33,5
6136223.0,Female,1,,24,3
6136221.0,Male,2,,23,57
6136236.0,Male,2,,24,72
6136232.0,Female,1,,20,11
6136235.0,Male,2,,23,43
6136210.0,Male,2,,24,64
6136233.0,Male,2,,22,5
6136254.0,Male,2,,27,0
6136206.0,Male,2,,26,34
6136150.0,Male,2,,22,13
6136258.0,Male,2,,20,11
6136215.0,Female,1,,25,76
6136276.0,Male,2,,20,25
6136203.0,Male,2,,24,31
6136279.0,Female,1,,39,100
6136226.0,Female,1,,44,99
6136296.0,Female,1,,22,14
6136275.0,Male,2,,22,11
6136329.0,Male,2,,26,13
6136338.0,Male,2,,29,59
6136405.0,Male,2,,23,90
6142796.0,Female,1,,40,61
6143070.0,Female,1,,21,0
6143312.0,Male,2,,28,63
6143311.0,Male,2,,23,98
