,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
jelly_fish,,0.1506849315068493,0.2465753424657534,0.7945205479452054,0.863013698630137,0.3013698630136986,0.6986301369863014,0.0684931506849315,0.1232876712328767,0.1232876712328767
robot,0.8493150684931506,,0.7397260273972602,0.9452054794520548,0.9452054794520548,0.863013698630137,0.8493150684931506,0.1917808219178082,0.4794520547945205,0.3972602739726027
virus,0.7534246575342466,0.2602739726027397,,0.8356164383561644,0.8356164383561644,0.4383561643835616,0.6986301369863014,0.0547945205479452,0.2054794520547945,0.1917808219178082
chimpanzee,0.2054794520547945,0.0547945205479452,0.1643835616438356,,0.8082191780821918,0.1232876712328767,0.6575342465753424,0.0547945205479452,0.0410958904109589,0.0547945205479452
human,0.136986301369863,0.0547945205479452,0.1643835616438356,0.1917808219178082,,0.0821917808219178,0.5616438356164384,0.0821917808219178,0.0410958904109589,0.0136986301369863
artificial_intelligence,0.6986301369863014,0.136986301369863,0.5616438356164384,0.8767123287671232,0.9178082191780822,,0.7534246575342466,0.136986301369863,0.1506849315068493,0.136986301369863
god,0.3013698630136986,0.1506849315068493,0.3013698630136986,0.3424657534246575,0.4383561643835616,0.2465753424657534,,0.136986301369863,0.1917808219178082,0.1643835616438356
rock,0.9315068493150684,0.8082191780821918,0.9452054794520548,0.9452054794520548,0.9178082191780822,0.863013698630137,0.863013698630137,,0.7808219178082192,0.7945205479452054
autonomous_car,0.8767123287671232,0.5205479452054794,0.7945205479452054,0.958904109589041,0.958904109589041,0.8493150684931506,0.8082191780821918,0.2191780821917808,,0.4246575342465753
computer,0.8767123287671232,0.6027397260273972,0.8082191780821918,0.9452054794520548,0.9863013698630136,0.863013698630137,0.8356164383561644,0.2054794520547945,0.5753424657534246,
