,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
jelly_fish,,7606.569863015789,12996.589041088435,6230.847945200721,11999.00684932558,12108.650684932485,6146.594520536545,5257.98493150192,8684.890410956818,6264.782191770647
robot,7606.569863015789,,7368.041095869745,5222.806849302695,5304.606849313637,7297.0068493153585,7364.5465753372955,7746.669863026826,8262.309589053075,8869.164383565723
virus,12996.589041088435,7368.041095869745,,7224.349315052495,5823.484931504864,6471.22739726446,6466.70136986582,6395.682191786022,7278.968493153741,6564.145205481253
chimpanzee,6230.847945200721,5222.806849302695,7224.349315052495,,8662.071232878998,6479.85616438449,6366.36712328966,7317.157534246051,6661.115068483581,5340.163013701052
human,11999.00684932558,5304.606849313637,5823.484931504864,8662.071232878998,,7643.2164383664685,8798.971232876602,6917.304109586286,7228.768493142506,5406.2506849399815
artificial_intelligence,12108.650684932485,7297.0068493153585,6471.22739726446,6479.85616438449,7643.2164383664685,,6758.83013698534,6691.428767121568,8963.75616437755,9230.098630155477
god,6146.594520536545,7364.5465753372955,6466.70136986582,6366.36712328966,8798.971232876602,6758.83013698534,,6154.27534248677,6341.808219183505,5106.993150695568
rock,5257.98493150192,7746.669863026826,6395.682191786022,7317.157534246051,6917.304109586286,6691.428767121568,6154.27534248677,,8407.416438355553,7198.3397260415895
autonomous_car,8684.890410956818,8262.309589053075,7278.968493153741,6661.115068483581,7228.768493142506,8963.75616437755,6341.808219183505,8407.416438355553,,10068.076712322998
computer,6264.782191770647,8869.164383565723,6564.145205481253,5340.163013701052,5406.2506849399815,9230.098630155477,5106.993150695568,7198.3397260415895,10068.076712322998,
