,total_time_min,rock_human_score,rock_god_score,math1_num_resp,math2_num_resp,math3_num_resp
6136142.0,4.675033333333333,-3.0,-3.0,1.0,1.0,1.0
6136145.0,8.2558,-3.0,-3.0,1.0,1.0,1.0
6136146.0,4.324783333333333,-3.0,-1.0,1.0,1.0,1.0
6136153.0,5.507583333333333,-3.0,-2.0,1.0,1.0,1.0
6136151.0,20.963866666666668,-3.0,3.0,1.0,1.0,1.0
6136160.0,4.384483333333334,-3.0,-1.0,1.0,1.0,1.0
6136156.0,3.5386333333333337,-2.0,-3.0,2.0,1.0,1.0
6136158.0,4.210383333333334,-3.0,-2.0,1.0,1.0,1.0
6136154.0,5.865916666666666,-3.0,-3.0,1.0,1.0,1.0
6136170.0,4.303833333333333,-2.0,1.0,1.0,1.0,1.0
6136164.0,18.13155,2.0,-3.0,1.0,1.0,1.0
6136171.0,5.15505,-1.0,-1.0,1.0,1.0,1.0
6136148.0,8.579416666666667,-3.0,-3.0,1.0,1.0,1.0
6136168.0,4.6109,-3.0,-3.0,1.0,1.0,1.0
6136173.0,3.619066666666667,-3.0,-2.0,1.0,1.0,1.0
6136165.0,8.547,-3.0,-3.0,1.0,1.0,1.0
6136167.0,5.683033333333333,-3.0,-3.0,1.0,1.0,1.0
6136183.0,8.0854,-3.0,-3.0,1.0,1.0,1.0
6136177.0,3.9545000000000003,-3.0,-3.0,1.0,1.0,1.0
6136162.0,5.73435,-3.0,-3.0,1.0,1.0,1.0
6136188.0,4.904733333333334,-3.0,1.0,1.0,1.0,1.0
6136189.0,4.602683333333333,-3.0,-3.0,1.0,1.0,1.0
6136182.0,4.1193333333333335,-3.0,-1.0,1.0,1.0,1.0
6136178.0,3.8735666666666666,-3.0,-1.0,1.0,1.0,1.0
6136199.0,6.3927000000000005,1.0,-3.0,1.0,1.0,1.0
6136197.0,4.57475,2.0,-1.0,1.0,1.0,1.0
6136187.0,3.6847333333333334,-3.0,1.0,1.0,1.0,1.0
6136193.0,4.626416666666667,2.0,-2.0,1.0,1.0,1.0
6136186.0,5.917166666666666,-3.0,-3.0,1.0,1.0,1.0
6136196.0,5.032983333333333,3.0,-3.0,1.0,1.0,1.0
6136190.0,4.624333333333333,-3.0,-3.0,1.0,1.0,1.0
6136201.0,5.566,-3.0,-2.0,1.0,1.0,1.0
6136195.0,15.02835,-3.0,-2.0,1.0,1.0,1.0
6136192.0,5.4782166666666665,-3.0,-3.0,1.0,1.0,1.0
6136179.0,5.43885,-3.0,-3.0,1.0,1.0,1.0
6136202.0,5.500166666666667,-3.0,-1.0,1.0,1.0,1.0
6136194.0,6.086216666666667,-3.0,-3.0,1.0,1.0,1.0
6136208.0,6.289966666666667,-3.0,-3.0,1.0,1.0,1.0
6136169.0,10.417033333333334,-2.0,-3.0,1.0,1.0,1.0
6136174.0,8.910266666666667,-3.0,-3.0,1.0,1.0,1.0
6136172.0,3.6936166666666663,-3.0,-3.0,1.0,1.0,1.0
6136213.0,7.9425333333333334,-3.0,-3.0,1.0,1.0,1.0
6136222.0,4.849433333333334,-3.0,1.0,1.0,1.0,1.0
6136209.0,10.3758,2.0,2.0,1.0,1.0,1.0
6136217.0,11.144016666666666,-3.0,-3.0,1.0,1.0,1.0
6136205.0,6.600499999999999,-3.0,1.0,1.0,1.0,1.0
6136228.0,6.725233333333334,-3.0,-1.0,1.0,1.0,1.0
6136216.0,4.448766666666667,-3.0,-3.0,1.0,1.0,1.0
6136223.0,5.39745,-3.0,-2.0,1.0,1.0,1.0
6136221.0,13.09765,-3.0,-3.0,1.0,1.0,1.0
6136236.0,5.485133333333334,-3.0,-2.0,1.0,1.0,1.0
6136232.0,8.185,-3.0,2.0,1.0,1.0,1.0
6136235.0,12.067216666666667,-3.0,-3.0,1.0,1.0,1.0
6136210.0,5.454383333333333,-3.0,-3.0,1.0,1.0,1.0
6136233.0,10.467099999999999,-3.0,-3.0,1.0,1.0,1.0
6136254.0,4.853066666666667,-3.0,-3.0,1.0,1.0,1.0
6136206.0,10.723116666666666,-1.0,-1.0,1.0,1.0,1.0
6136150.0,4.747433333333333,-3.0,-1.0,1.0,1.0,1.0
6136258.0,5.817383333333334,-3.0,-3.0,1.0,1.0,1.0
6136215.0,9.316466666666667,-2.0,-3.0,1.0,1.0,1.0
6136276.0,4.715599999999999,-3.0,-3.0,1.0,1.0,1.0
6136203.0,13.396133333333333,-2.0,-2.0,1.0,1.0,1.0
6136279.0,8.146483333333332,-3.0,-3.0,1.0,1.0,1.0
6136226.0,12.555200000000001,-3.0,-3.0,1.0,1.0,1.0
6136296.0,10.58175,-3.0,2.0,1.0,1.0,1.0
6136275.0,7.501716666666667,-3.0,1.0,2.0,1.0,1.0
6136329.0,12.352833333333333,-3.0,-3.0,1.0,1.0,1.0
6136338.0,8.578083333333332,-3.0,-1.0,1.0,1.0,1.0
6136405.0,6.364566666666667,-3.0,-3.0,3.0,1.0,1.0
6142796.0,3.669966666666667,-3.0,-3.0,1.0,1.0,1.0
6143070.0,6.036816666666667,-3.0,-3.0,1.0,1.0,1.0
6143312.0,7.006566666666667,-3.0,-2.0,1.0,1.0,1.0
6143311.0,11.870299999999999,-3.0,-3.0,1.0,1.0,1.0
