,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
jelly_fish,,-1.5068493150684932,-1.0410958904109588,1.3424657534246576,2.041095890410959,-0.8082191780821918,1.1643835616438356,-1.9589041095890412,-1.643835616438356,-1.6986301369863013
robot,1.5068493150684932,,0.8493150684931506,2.219178082191781,2.5205479452054793,1.356164383561644,1.8493150684931507,-1.1095890410958904,-0.0547945205479452,-0.273972602739726
virus,1.0410958904109588,-0.8493150684931506,,1.6712328767123288,1.9315068493150684,-0.3698630136986301,1.2054794520547945,-1.8904109589041096,-1.2191780821917808,-1.2465753424657535
chimpanzee,-1.3424657534246576,-2.219178082191781,-1.6712328767123288,,1.3972602739726028,-1.7808219178082192,0.863013698630137,-2.315068493150685,-2.232876712328767,-2.3013698630136985
human,-2.041095890410959,-2.5205479452054793,-1.9315068493150684,-1.3972602739726028,,-2.328767123287671,0.2876712328767123,-2.4657534246575343,-2.5616438356164384,-2.671232876712329
artificial_intelligence,0.8082191780821918,-1.356164383561644,0.3698630136986301,1.7808219178082192,2.328767123287671,,1.3835616438356164,-1.6849315068493151,-1.3013698630136987,-1.3835616438356164
god,-1.1643835616438356,-1.8493150684931507,-1.2054794520547945,-0.863013698630137,-0.2876712328767123,-1.3835616438356164,,-1.9452054794520548,-1.8082191780821917,-1.7397260273972603
rock,1.9589041095890412,1.1095890410958904,1.8904109589041096,2.315068493150685,2.4657534246575343,1.6849315068493151,1.9452054794520548,,1.0410958904109588,1.0410958904109588
autonomous_car,1.643835616438356,0.0547945205479452,1.2191780821917808,2.232876712328767,2.5616438356164384,1.3013698630136987,1.8082191780821917,-1.0410958904109588,,-0.2191780821917808
computer,1.6986301369863013,0.273972602739726,1.2465753424657535,2.3013698630136985,2.671232876712329,1.3835616438356164,1.7397260273972603,-1.0410958904109588,0.2191780821917808,
