part_id,word,jelly_fish,robot,virus,chimpanzee,human,artificial_intelligence,god,rock,autonomous_car,computer
6136142.0,jelly_fish,,-1.0,-2.0,1.0,3.0,-2.0,3.0,-1.0,-2.0,-2.0
6136142.0,robot,1.0,,-2.0,3.0,3.0,2.0,3.0,-2.0,2.0,-1.0
6136142.0,virus,2.0,2.0,,3.0,3.0,2.0,3.0,-3.0,-2.0,-2.0
6136142.0,chimpanzee,-1.0,-3.0,-3.0,,3.0,-2.0,3.0,-3.0,-2.0,-3.0
6136142.0,human,-3.0,-3.0,-3.0,-3.0,,-3.0,3.0,-3.0,-3.0,-3.0
6136142.0,artificial_intelligence,2.0,-2.0,-2.0,2.0,3.0,,3.0,-3.0,-2.0,-2.0
6136142.0,god,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0
6136142.0,rock,1.0,2.0,3.0,3.0,3.0,3.0,3.0,,2.0,3.0
6136142.0,autonomous_car,2.0,-2.0,2.0,2.0,3.0,2.0,3.0,-2.0,,-3.0
6136142.0,computer,2.0,1.0,2.0,3.0,3.0,2.0,3.0,-3.0,3.0,
6136145.0,jelly_fish,,2.0,-1.0,3.0,3.0,1.0,3.0,-1.0,1.0,1.0
6136145.0,robot,-2.0,,-2.0,1.0,3.0,3.0,3.0,-1.0,-2.0,-1.0
6136145.0,virus,1.0,2.0,,2.0,3.0,1.0,3.0,-1.0,1.0,1.0
6136145.0,chimpanzee,-3.0,-1.0,-2.0,,3.0,-2.0,3.0,-3.0,-3.0,-2.0
6136145.0,human,-3.0,-3.0,-3.0,-3.0,,-3.0,3.0,-3.0,-3.0,-3.0
6136145.0,artificial_intelligence,-1.0,-3.0,-1.0,2.0,3.0,,3.0,-1.0,-1.0,-1.0
6136145.0,god,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0
6136145.0,rock,1.0,1.0,1.0,3.0,3.0,1.0,3.0,,1.0,1.0
6136145.0,autonomous_car,-1.0,2.0,-1.0,3.0,3.0,1.0,3.0,-1.0,,1.0
6136145.0,computer,-1.0,1.0,-1.0,2.0,3.0,1.0,3.0,-1.0,-1.0,
6136146.0,jelly_fish,,-1.0,-1.0,3.0,3.0,2.0,1.0,-1.0,1.0,1.0
6136146.0,robot,1.0,,2.0,2.0,3.0,1.0,1.0,-1.0,-1.0,2.0
6136146.0,virus,1.0,-2.0,,3.0,3.0,-2.0,-2.0,-1.0,-1.0,-1.0
6136146.0,chimpanzee,-3.0,-2.0,-3.0,,3.0,-2.0,-3.0,-3.0,-2.0,-2.0
6136146.0,human,-3.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136146.0,artificial_intelligence,-2.0,-1.0,2.0,2.0,3.0,,-1.0,-2.0,-1.0,-1.0
6136146.0,god,-1.0,-1.0,2.0,3.0,3.0,1.0,,-1.0,-1.0,-1.0
6136146.0,rock,1.0,1.0,1.0,3.0,3.0,2.0,1.0,,1.0,3.0
6136146.0,autonomous_car,-1.0,1.0,1.0,2.0,3.0,1.0,1.0,-1.0,,1.0
6136146.0,computer,-1.0,-2.0,1.0,2.0,3.0,1.0,1.0,-3.0,-1.0,
6136153.0,jelly_fish,,-2.0,-2.0,1.0,2.0,-1.0,-2.0,-2.0,-2.0,-2.0
6136153.0,robot,2.0,,1.0,3.0,3.0,2.0,2.0,-1.0,-1.0,-1.0
6136153.0,virus,2.0,-1.0,,2.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0
6136153.0,chimpanzee,-1.0,-3.0,-2.0,,2.0,-2.0,-2.0,-2.0,-3.0,-2.0
6136153.0,human,-2.0,-3.0,-3.0,-2.0,,-3.0,-2.0,-3.0,-3.0,-3.0
6136153.0,artificial_intelligence,1.0,-2.0,-1.0,2.0,3.0,,1.0,-1.0,-2.0,-2.0
6136153.0,god,2.0,-2.0,1.0,2.0,2.0,-1.0,,-2.0,-2.0,-2.0
6136153.0,rock,2.0,1.0,1.0,2.0,3.0,1.0,2.0,,1.0,-1.0
6136153.0,autonomous_car,2.0,1.0,1.0,3.0,3.0,2.0,2.0,-1.0,,-2.0
6136153.0,computer,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,
6136151.0,jelly_fish,,-3.0,3.0,1.0,2.0,-3.0,-3.0,-3.0,-2.0,-3.0
6136151.0,robot,3.0,,3.0,3.0,3.0,1.0,-3.0,2.0,1.0,2.0
6136151.0,virus,-3.0,-3.0,,1.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0
6136151.0,chimpanzee,-1.0,-3.0,-1.0,,2.0,-3.0,-3.0,-3.0,-3.0,-3.0
6136151.0,human,-2.0,-3.0,-2.0,-2.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136151.0,artificial_intelligence,3.0,-1.0,3.0,3.0,3.0,,-1.0,-1.0,1.0,1.0
6136151.0,god,3.0,3.0,3.0,3.0,3.0,1.0,,3.0,3.0,3.0
6136151.0,rock,3.0,-2.0,3.0,3.0,3.0,1.0,-3.0,,-1.0,-1.0
6136151.0,autonomous_car,2.0,-1.0,3.0,3.0,3.0,-1.0,-3.0,1.0,,-1.0
6136151.0,computer,3.0,-2.0,3.0,3.0,3.0,-1.0,-3.0,1.0,1.0,
6136160.0,jelly_fish,,-3.0,-3.0,-2.0,2.0,-1.0,-3.0,1.0,-2.0,-3.0
6136160.0,robot,3.0,,2.0,2.0,3.0,3.0,1.0,-1.0,2.0,2.0
6136160.0,virus,3.0,-2.0,,-1.0,3.0,-2.0,-2.0,-3.0,-2.0,-2.0
6136160.0,chimpanzee,2.0,-2.0,1.0,,3.0,-2.0,-3.0,-3.0,-3.0,-2.0
6136160.0,human,-2.0,-3.0,-3.0,-3.0,,-3.0,-3.0,-3.0,-3.0,-3.0
6136160.0,artificial_intelligence,1.0,-3.0,2.0,2.0,3.0,,1.0,-3.0,-3.0,-3.0
6136160.0,god,3.0,-1.0,2.0,3.0,3.0,-1.0,,-1.0,-1.0,1.0
6136160.0,rock,-1.0,1.0,3.0,3.0,3.0,3.0,1.0,,3.0,3.0
6136160.0,autonomous_car,2.0,-2.0,2.0,3.0,3.0,3.0,1.0,-3.0,,-2.0
6136160.0,computer,3.0,-2.0,2.0,2.0,3.0,3.0,-1.0,-3.0,2.0,
6136156.0,jelly_fish,,-2.0,-3.0,3.0,2.0,3.0,-2.0,-2.0,2.0,2.0
6136156.0,robot,2.0,,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0
6136156.0,virus,3.0,2.0,,-2.0,2.0,2.0,-2.0,-2.0,2.0,-3.0
6136156.0,chimpanzee,-3.0,2.0,2.0,,3.0,2.0,2.0,-2.0,-2.0,-2.0
6136156.0,human,-2.0,2.0,-2.0,-3.0,,3.0,-3.0,-2.0,-3.0,-3.0
6136156.0,artificial_intelligence,-3.0,-2.0,-2.0,-2.0,-3.0,,-2.0,-3.0,-2.0,-2.0
6136156.0,god,2.0,-2.0,2.0,-2.0,3.0,2.0,,-3.0,2.0,2.0
6136156.0,rock,2.0,-2.0,2.0,2.0,2.0,3.0,3.0,,2.0,2.0
6136156.0,autonomous_car,-2.0,-2.0,-2.0,2.0,3.0,2.0,-2.0,-2.0,,-2.0
6136156.0,computer,-2.0,-2.0,3.0,2.0,3.0,2.0,-2.0,-2.0,2.0,
6136158.0,jelly_fish,,-2.0,-2.0,2.0,3.0,-3.0,1.0,-2.0,-2.0,-2.0
6136158.0,robot,2.0,,2.0,3.0,3.0,1.0,3.0,-2.0,2.0,-2.0
6136158.0,virus,2.0,-2.0,,2.0,3.0,-2.0,2.0,-2.0,-2.0,-2.0
6136158.0,chimpanzee,-2.0,-3.0,-2.0,,2.0,-2.0,1.0,-2.0,-2.0,-3.0
6136158.0,human,-3.0,-3.0,-3.0,-2.0,,-3.0,1.0,-3.0,-3.0,-3.0
6136158.0,artificial_intelligence,3.0,-1.0,2.0,2.0,3.0,,2.0,-2.0,-2.0,-2.0
6136158.0,god,-1.0,-3.0,-2.0,-1.0,-1.0,-2.0,,-2.0,-2.0,-2.0
6136158.0,rock,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,2.0
6136158.0,autonomous_car,2.0,-2.0,2.0,2.0,3.0,2.0,2.0,-1.0,,-2.0
6136158.0,computer,2.0,2.0,2.0,3.0,3.0,2.0,2.0,-2.0,2.0,
6136154.0,jelly_fish,,1.0,1.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0
6136154.0,robot,-1.0,,-2.0,2.0,2.0,2.0,3.0,-3.0,-2.0,-2.0
6136154.0,virus,-1.0,2.0,,2.0,2.0,1.0,3.0,-3.0,-2.0,-2.0
6136154.0,chimpanzee,-3.0,-2.0,-2.0,,3.0,2.0,3.0,-3.0,-3.0,-3.0
6136154.0,human,-3.0,-2.0,-2.0,-3.0,,-1.0,3.0,-3.0,-3.0,-3.0
