part_id,words,reaction_time,words_left,words_right,left_score,right_score,left_score_binary,right_score_binary,sense_response
6136142.0,0,10384.399999976158,human,computer,3,-3,1,0,
6136142.0,1,11492.900000095367,artificial_intelligence,computer,2,-2,1,0,
6136142.0,2,5526.899999976158,virus,rock,3,-3,1,0,
6136142.0,3,8330.600000023842,jelly_fish,computer,2,-2,1,0,
6136142.0,4,4609.800000071526,jelly_fish,god,-3,3,0,1,
6136142.0,5,8833.600000023842,chimpanzee,god,-3,3,0,1,
6136142.0,6,4202.5,chimpanzee,robot,3,-3,1,0,
6136142.0,7,3762.600000023842,robot,human,-3,3,0,1,
6136142.0,8,6257.5,jelly_fish,virus,2,-2,1,0,
6136142.0,9,14367.0,robot,computer,1,-1,1,0,
6136142.0,10,5705.600000023842,robot,rock,2,-2,1,0,
6136142.0,11,2899.0,jelly_fish,human,-3,3,0,1,
6136142.0,12,2979.2999999523163,jelly_fish,robot,1,-1,1,0,
6136142.0,13,2958.3000000715256,robot,artificial_intelligence,-2,2,0,1,
6136142.0,14,7558.899999976158,virus,robot,-2,2,0,1,
6136142.0,15,6373.200000047684,rock,autonomous_car,-2,2,0,1,
6136142.0,16,3282.399999976158,robot,god,-3,3,0,1,
6136142.0,17,3391.200000047684,chimpanzee,autonomous_car,2,-2,1,0,
6136142.0,18,2754.200000047684,god,rock,3,-3,1,0,
6136142.0,19,1839.899999976158,virus,human,-3,3,0,1,
6136142.0,20,3243.2999999523163,human,autonomous_car,3,-3,1,0,
6136142.0,21,2772.9000000953674,jelly_fish,autonomous_car,2,-2,1,0,
6136142.0,22,3239.100000023842,rock,computer,-3,3,0,1,
6136142.0,23,3171.600000023842,virus,artificial_intelligence,-2,2,0,1,
6136142.0,24,2824.0,virus,god,-3,3,0,1,
6136142.0,25,3110.8000000715256,chimpanzee,rock,3,-3,1,0,
6136142.0,26,8945.299999952316,robot,autonomous_car,-2,2,0,1,
6136142.0,27,8418.599999904633,virus,autonomous_car,2,-2,1,0,
6136142.0,28,2322.5,god,computer,3,-3,1,0,
6136142.0,29,4997.400000095367,jelly_fish,artificial_intelligence,2,-2,1,0,
6136142.0,30,2111.399999976158,god,autonomous_car,3,-3,1,0,
6136142.0,31,9593.800000071526,chimpanzee,jelly_fish,1,-1,1,0,
6136142.0,32,2308.4000000953674,artificial_intelligence,autonomous_car,2,-2,1,0,
6136142.0,33,4097.799999952316,human,god,-3,3,0,1,
6136142.0,34,2722.0,artificial_intelligence,god,-3,3,0,1,
6136142.0,35,10875.600000023842,artificial_intelligence,human,-3,3,0,1,
6136142.0,36,2471.200000047684,virus,computer,2,-2,1,0,
6136142.0,37,3369.1999999284744,chimpanzee,human,-3,3,0,1,
6136142.0,38,3210.399999976158,human,rock,3,-3,1,0,
6136142.0,39,2837.700000047684,chimpanzee,virus,3,-3,1,0,
6136142.0,40,2784.1999999284744,artificial_intelligence,rock,3,-3,1,0,
6136142.0,41,2675.100000023842,jelly_fish,rock,1,-1,1,0,
6136142.0,42,4535.799999952316,chimpanzee,artificial_intelligence,2,-2,1,0,
6136142.0,43,2681.8000000715256,autonomous_car,computer,3,-3,1,0,
6136142.0,44,4300.200000047684,chimpanzee,computer,3,-3,1,0,
6136145.0,0,277204.2999999523,jelly_fish,virus,1,-1,1,0,
6136145.0,1,11607.399999976158,autonomous_car,computer,-1,1,0,1,
6136145.0,2,3842.200000047684,virus,human,-3,3,0,1,
6136145.0,3,7754.299999952316,robot,rock,1,-1,1,0,
6136145.0,4,4708.599999904633,chimpanzee,artificial_intelligence,2,-2,1,0,
6136145.0,5,8008.100000023842,virus,autonomous_car,-1,1,0,1,
6136145.0,6,3155.9000000953674,jelly_fish,computer,-1,1,0,1,
6136145.0,7,2678.599999904633,rock,autonomous_car,-1,1,0,1,
6136145.0,8,3489.2999999523163,jelly_fish,artificial_intelligence,-1,1,0,1,
6136145.0,9,2733.899999976158,virus,rock,1,-1,1,0,
6136145.0,10,2697.5,jelly_fish,rock,1,-1,1,0,
6136145.0,11,5965.299999952316,artificial_intelligence,computer,1,-1,1,0,
6136145.0,12,5058.300000071526,artificial_intelligence,god,-3,3,0,1,
