,robot,rock,artificial_intelligence,chimpanzee,jelly_fish,virus,human,god,autonomous_car,computer
robot,,0.02631578947368421,0.7105263157894737,0.3815789473684211,0.21052631578947367,0.40789473684210525,0.7631578947368421,0.5,0.25,0.5921052631578947
rock,0.9736842105263158,,0.9342105263157895,0.9473684210526315,0.9210526315789473,0.9736842105263158,1.0,0.7894736842105263,0.9473684210526315,0.9736842105263158
artificial_intelligence,0.2894736842105263,0.06578947368421052,,0.3815789473684211,0.18421052631578946,0.3026315789473684,0.7105263157894737,0.42105263157894735,0.039473684210526314,0.27631578947368424
chimpanzee,0.618421052631579,0.05263157894736842,0.618421052631579,,0.02631578947368421,0.4342105263157895,0.9473684210526315,0.5131578947368421,0.4605263157894737,0.6578947368421053
jelly_fish,0.7894736842105263,0.07894736842105263,0.8157894736842105,0.9736842105263158,,0.7894736842105263,1.0,0.5921052631578947,0.6973684210526315,0.7763157894736842
virus,0.5921052631578947,0.02631578947368421,0.6973684210526315,0.5657894736842105,0.21052631578947367,,0.8552631578947368,0.5,0.4605263157894737,0.5394736842105263
human,0.23684210526315788,0.0,0.2894736842105263,0.05263157894736842,0.0,0.14473684210526316,,0.3815789473684211,0.07894736842105263,0.25
god,0.5,0.21052631578947367,0.5789473684210527,0.4868421052631579,0.40789473684210525,0.5,0.618421052631579,,0.4473684210526316,0.5
autonomous_car,0.75,0.05263157894736842,0.9605263157894737,0.5394736842105263,0.3026315789473684,0.5394736842105263,0.9210526315789473,0.5526315789473685,,0.8421052631578947
computer,0.40789473684210525,0.02631578947368421,0.7236842105263158,0.34210526315789475,0.2236842105263158,0.4605263157894737,0.75,0.5,0.15789473684210525,
