part_id,word,robot,rock,artificial_intelligence,chimpanzee,jelly_fish,virus,human,god,autonomous_car,computer
6265199.0,robot,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
6265199.0,rock,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6265199.0,artificial_intelligence,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
6265199.0,chimpanzee,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
6265199.0,jelly_fish,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0
6265199.0,virus,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0
6265199.0,human,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
6265199.0,god,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
6265199.0,autonomous_car,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0
6265199.0,computer,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
6265200.0,robot,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
6265200.0,rock,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6265200.0,artificial_intelligence,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6265200.0,chimpanzee,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0
6265200.0,jelly_fish,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
6265200.0,virus,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
6265200.0,human,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
6265200.0,god,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6265200.0,autonomous_car,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0
6265200.0,computer,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
6265201.0,robot,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
6265201.0,rock,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
6265201.0,artificial_intelligence,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6265201.0,chimpanzee,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
6265201.0,jelly_fish,1.0,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0
6265201.0,virus,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0
