,total_time_min,rock_human_score,rock_god_score,math1_num_resp,math2_num_resp,math3_num_resp
6265199.0,4.47865,-3.0,-1.0,1.0,1.0,1.0
6265200.0,6.413583333333333,-3.0,-3.0,1.0,1.0,1.0
6265201.0,8.171916666666666,-3.0,2.0,1.0,1.0,1.0
6265213.0,2.9116,-3.0,-3.0,1.0,1.0,1.0
6265212.0,4.231916666666667,-3.0,-3.0,1.0,1.0,1.0
6265215.0,4.087816666666667,-3.0,-2.0,1.0,1.0,1.0
6265209.0,5.07055,-2.0,1.0,1.0,1.0,1.0
6265198.0,6.004016666666667,-3.0,-3.0,1.0,1.0,1.0
6265218.0,4.340983333333333,-2.0,-2.0,1.0,1.0,1.0
6265220.0,7.93935,-3.0,1.0,1.0,1.0,1.0
6265225.0,7.489599999999999,-3.0,-1.0,1.0,1.0,1.0
6265222.0,4.920866666666667,-2.0,-3.0,1.0,1.0,1.0
6265227.0,10.71715,-3.0,-2.0,1.0,1.0,1.0
6265208.0,6.714483333333334,-3.0,-2.0,1.0,1.0,1.0
6265233.0,9.4957,-3.0,-3.0,1.0,3.0,2.0
6265239.0,3.912383333333333,-2.0,-3.0,1.0,1.0,1.0
6265238.0,5.099133333333333,-3.0,1.0,1.0,1.0,1.0
6265236.0,9.831,-3.0,-3.0,1.0,1.0,1.0
6265241.0,5.423416666666666,-3.0,-3.0,1.0,1.0,1.0
6265251.0,4.261,-3.0,3.0,4.0,1.0,1.0
6265253.0,5.041633333333333,-3.0,-3.0,1.0,1.0,4.0
6265244.0,5.41065,-3.0,-1.0,1.0,1.0,1.0
6265257.0,2.6338999999999997,-3.0,2.0,1.0,1.0,1.0
6265256.0,4.0727,-3.0,-1.0,1.0,1.0,1.0
6265250.0,3.8756333333333335,-3.0,-2.0,1.0,1.0,1.0
6265260.0,4.6119666666666665,-3.0,-2.0,1.0,1.0,1.0
6265266.0,5.461966666666667,-3.0,1.0,1.0,1.0,1.0
6265223.0,6.444100000000001,-3.0,-3.0,1.0,1.0,1.0
6265262.0,8.248933333333333,-3.0,-3.0,1.0,1.0,1.0
6265243.0,8.976716666666666,-2.0,-3.0,1.0,1.0,3.0
6265264.0,8.897066666666666,-3.0,-2.0,1.0,1.0,1.0
6265261.0,7.120666666666667,-3.0,1.0,1.0,1.0,1.0
6265247.0,5.343383333333334,-3.0,-3.0,1.0,1.0,1.0
6265270.0,4.89245,-3.0,-3.0,1.0,1.0,1.0
6265252.0,9.19485,-3.0,-3.0,1.0,1.0,1.0
6265232.0,13.205433333333334,-3.0,-3.0,1.0,1.0,1.0
6265267.0,4.886783333333333,-3.0,-1.0,1.0,1.0,1.0
6265276.0,8.612583333333333,-2.0,1.0,1.0,1.0,1.0
6265277.0,5.729166666666667,-3.0,-3.0,1.0,1.0,1.0
6265263.0,9.12575,-2.0,-2.0,1.0,1.0,1.0
6265273.0,10.301583333333333,-3.0,-3.0,1.0,1.0,1.0
6265281.0,4.905366666666667,-3.0,-1.0,1.0,1.0,1.0
6265274.0,13.88945,-3.0,-2.0,1.0,1.0,4.0
6265284.0,5.526933333333333,-3.0,-2.0,1.0,1.0,1.0
6265283.0,11.860633333333334,-2.0,1.0,1.0,1.0,1.0
6265290.0,6.553016666666666,-3.0,3.0,1.0,1.0,1.0
6265300.0,5.140933333333334,-2.0,-1.0,1.0,1.0,1.0
6265335.0,5.248266666666667,-3.0,1.0,1.0,1.0,1.0
6265332.0,4.156716666666666,-3.0,-3.0,2.0,1.0,1.0
6265336.0,7.130583333333333,-3.0,-3.0,1.0,1.0,1.0
6265367.0,9.936399999999999,-2.0,-3.0,1.0,1.0,1.0
6265429.0,3.624483333333333,-3.0,-2.0,1.0,1.0,1.0
6265505.0,3.9505,-3.0,3.0,1.0,1.0,1.0
6265531.0,7.27995,-3.0,-3.0,1.0,1.0,1.0
6265543.0,5.12585,-3.0,3.0,1.0,1.0,1.0
6265542.0,9.01135,-3.0,-3.0,1.0,1.0,1.0
6265546.0,8.369266666666666,-3.0,3.0,1.0,1.0,1.0
6265275.0,6.5399,-3.0,-2.0,1.0,1.0,1.0
6265237.0,4.1857,-3.0,-3.0,1.0,1.0,1.0
6265272.0,8.586866666666667,-3.0,-3.0,1.0,1.0,1.0
6265280.0,6.247816666666667,-2.0,-2.0,2.0,1.0,1.0
6265279.0,4.625533333333333,-3.0,-1.0,1.0,1.0,1.0
6265278.0,5.734116666666667,-3.0,-1.0,1.0,1.0,1.0
6265271.0,7.4241,-3.0,-3.0,1.0,1.0,1.0
6265242.0,10.549016666666667,-3.0,-3.0,1.0,1.0,1.0
6265255.0,7.027150000000001,-3.0,1.0,1.0,1.0,1.0
6265258.0,3.2052,-2.0,-2.0,1.0,1.0,1.0
6265248.0,10.175883333333333,-2.0,-3.0,1.0,1.0,1.0
6265235.0,6.070516666666666,-3.0,-3.0,1.0,1.0,1.0
6265202.0,5.48625,-3.0,-3.0,1.0,1.0,1.0
6265221.0,5.64655,-1.0,-2.0,1.0,1.0,1.0
6265226.0,5.226699999999999,-3.0,-2.0,1.0,1.0,1.0
6265216.0,4.35215,-3.0,-3.0,1.0,1.0,1.0
6265206.0,5.0126,-3.0,-3.0,1.0,1.0,1.0
6265207.0,4.06285,-3.0,-3.0,1.0,1.0,1.0
6265203.0,5.37,-3.0,-3.0,1.0,1.0,1.0
