,mean_score,score_std,win_prob,win_prob_std,sense_prob,sense_std
robot,0.3084795321637427,2.0928349895065432,0.5730994152046781,0.47206819484405926,,
rock,-2.299707602339181,0.9041278771805603,0.059941520467836254,0.12260429948376125,,
artificial_intelligence,0.9809941520467839,1.8470014906366767,0.7032163742690055,0.41021422917036887,,
chimpanzee,0.14035087719298245,2.067316559284339,0.5190058479532166,0.4595356454178547,,
jelly_fish,-1.0994152046783625,1.8336375402683105,0.27631578947368396,0.39478350103919224,,
virus,0.00877192982456139,1.9887651897338101,0.5058479532163743,0.44531750144659094,,
human,1.7397660818713447,1.3780015385197277,0.8406432748538011,0.2509529350904936,,
god,0.1593567251461988,1.120200313226469,0.5277777777777778,0.2214416640117514,,
autonomous_car,-0.43567251461988343,2.139835472528841,0.39327485380116933,0.48354213318820827,,
computer,0.4970760233918129,2.1084429652443775,0.6008771929824563,0.4703621375986757,,
