,Sex,Sex-quantised,Sex-text,age,religiosity
6305770.0,Other (please specify),,nb,33,12
6305774.0,Female,1,,25,4
6305771.0,Male,2,,42,17
6305779.0,Female,1,,28,43
6305786.0,Male,2,,30,57
6305794.0,Male,2,,25,5
6305793.0,Male,2,,32,55
6305797.0,Male,2,,25,24
6305791.0,Female,1,,24,2
6305803.0,Male,2,,25,0
6305807.0,Female,1,,47,1
6305808.0,Female,1,,24,85
6305811.0,Male,2,,20,0
6305813.0,Male,2,,24,0
6305814.0,Female,1,,26,37
6305815.0,Male,2,,25,0
6305818.0,Female,1,,25,4
6305816.0,Male,2,,19,0
6305817.0,Male,2,,24,0
6305822.0,Male,2,,22,57
6305830.0,Male,2,,33,9
6305833.0,Male,2,,24,58
6305836.0,Male,2,,25,100
6305835.0,Male,2,,28,10
6305839.0,Female,1,,23,0
6305841.0,Male,2,,27,36
6305840.0,Male,2,,18,88
6305838.0,Female,1,,26,75
6305812.0,Female,1,,22,60
6305846.0,Female,1,,33,0
6305844.0,Male,2,,20,51
6305848.0,Female,1,,27,18
6305832.0,Female,1,,22,19
6305853.0,Female,1,,32,0
6305851.0,Male,2,,23,0
6305852.0,Male,2,,40,6
6305834.0,Male,2,,49,98
6305856.0,Male,2,,36,0
6305850.0,Female,1,,29,0
6305854.0,Female,1,,26,18
6305858.0,Male,2,,18,99
6305861.0,Male,2,,30,0
6305865.0,Female,1,,31,26
6305867.0,Female,1,,33,16
6305876.0,Female,1,,21,0
6305877.0,Male,2,,18,1
6305873.0,Female,1,,22,83
6305879.0,Male,2,,27,0
6305880.0,Male,2,,22,0
6305882.0,Female,1,,30,69
6305886.0,Male,2,,24,20
6305888.0,Male,2,,33,17
6305895.0,Male,2,,22,29
6305901.0,Male,2,,20,28
6305831.0,Female,1,,22,12
6305907.0,Female,1,,27,0
6305908.0,Male,2,,26,31
6305912.0,Male,2,,18,0
6305917.0,Female,1,,25,1
6305920.0,Female,1,,29,64
6305925.0,Female,1,,41,1
6305931.0,Female,1,,39,2
6305940.0,Female,1,,22,0
6305939.0,Female,1,,32,23
6305948.0,Female,1,,22,74
6305936.0,Female,1,,37,89
6305961.0,Male,2,,20,69
6305935.0,Male,2,,30,100
6305976.0,Female,1,,32,13
6305980.0,Female,1,,22,0
6305991.0,Female,1,,35,2
6306008.0,Female,1,,30,19
6306037.0,Female,1,,23,43
6306121.0,Male,2,,20,14
6306226.0,Female,1,,25,28
6306224.0,Female,1,,20,0
