,jelly_fish,artificial_intelligence,god,virus,human,chimpanzee,robot,rock,autonomous_car,computer
jelly_fish,,0.7236842105263158,0.5657894736842105,0.5526315789473685,0.9736842105263158,0.9605263157894737,0.5921052631578947,0.013157894736842105,0.5657894736842105,0.618421052631579
artificial_intelligence,0.27631578947368424,,0.40789473684210525,0.35526315789473684,0.868421052631579,0.5526315789473685,0.13157894736842105,0.013157894736842105,0.09210526315789473,0.21052631578947367
god,0.4342105263157895,0.5921052631578947,,0.4868421052631579,0.7894736842105263,0.5921052631578947,0.5,0.19736842105263158,0.4868421052631579,0.4605263157894737
virus,0.4473684210526316,0.6447368421052632,0.5131578947368421,,0.8947368421052632,0.868421052631579,0.5131578947368421,0.039473684210526314,0.4868421052631579,0.4868421052631579
human,0.02631578947368421,0.13157894736842105,0.21052631578947367,0.10526315789473684,,0.02631578947368421,0.10526315789473684,0.013157894736842105,0.06578947368421052,0.14473684210526316
chimpanzee,0.039473684210526314,0.4473684210526316,0.40789473684210525,0.13157894736842105,0.9736842105263158,,0.3157894736842105,0.013157894736842105,0.23684210526315788,0.35526315789473684
robot,0.40789473684210525,0.868421052631579,0.5,0.4868421052631579,0.8947368421052632,0.6842105263157895,,0.013157894736842105,0.3157894736842105,0.5131578947368421
rock,0.9868421052631579,0.9868421052631579,0.8026315789473685,0.9605263157894737,0.9868421052631579,0.9868421052631579,0.9868421052631579,,0.9605263157894737,0.9868421052631579
autonomous_car,0.4342105263157895,0.9078947368421053,0.5131578947368421,0.5131578947368421,0.9342105263157895,0.7631578947368421,0.6842105263157895,0.039473684210526314,,0.7368421052631579
computer,0.3815789473684211,0.7894736842105263,0.5394736842105263,0.5131578947368421,0.8552631578947368,0.6447368421052632,0.4868421052631579,0.013157894736842105,0.2631578947368421,
