,jelly_fish,artificial_intelligence,god,virus,human,chimpanzee,robot,rock,autonomous_car,computer
jelly_fish,,4887.972236843516,5592.970263152871,6386.083618419839,4793.805723677163,5585.683684198358,6507.576052625173,6044.0651973626855,6945.223157894739,6949.859210521522
artificial_intelligence,4887.972236843516,,5568.36749998945,6258.5994078938475,7026.270723692607,8422.862697366805,13574.782565787713,5173.740000012905,5397.785657900652,5399.132171058197
god,5592.970263152871,5568.36749998945,,6382.240263145956,5767.352039467087,5663.908355257088,6952.844999991921,4516.309934204101,6352.191315789076,6913.479013159905
virus,6386.083618419839,6258.5994078938475,6382.240263145956,,5819.22921053007,6805.445460534025,7325.494934211163,5300.864671043973,6834.490460514852,5160.509407893222
human,4793.805723677163,7026.270723692607,5767.352039467087,5819.22921053007,,5224.726578944978,14030.558289468303,5579.849473678277,4595.766052630461,6471.066447376693
chimpanzee,5585.683684198358,8422.862697366805,5663.908355257088,6805.445460534025,5224.726578944978,,5556.986381583224,4326.404144741494,5156.274013155652,7242.221447373407
robot,6507.576052625173,13574.782565787713,6952.844999991921,7325.494934211163,14030.558289468303,5556.986381583224,,7765.993026310423,7913.97460525694,6417.206907905594
rock,6044.0651973626855,5173.740000012905,4516.309934204101,5300.864671043973,5579.849473678277,4326.404144741494,7765.993026310423,,5447.880723687615,5077.654736849966
autonomous_car,6945.223157894739,5397.785657900652,6352.191315789076,6834.490460514852,4595.766052630461,5156.274013155652,7913.97460525694,5447.880723687615,,7039.555394740491
computer,6949.859210521522,5399.132171058197,6913.479013159905,5160.509407893222,6471.066447376693,7242.221447373407,6417.206907905594,5077.654736849966,7039.555394740491,
