,total_time_min,rock_human_score,rock_god_score,math1_num_resp,math2_num_resp,math3_num_resp
6305770.0,5.5069333333333335,-3.0,1.0,1.0,1.0,1.0
6305774.0,4.718083333333333,-3.0,-1.0,1.0,1.0,1.0
6305771.0,5.95265,-3.0,-3.0,1.0,1.0,1.0
6305779.0,4.012433333333333,-3.0,3.0,1.0,1.0,1.0
6305786.0,4.737433333333333,-3.0,-2.0,2.0,1.0,1.0
6305794.0,3.7007666666666665,-2.0,1.0,1.0,1.0,1.0
6305793.0,6.651166666666667,-3.0,-3.0,1.0,1.0,1.0
6305797.0,3.7203333333333335,-3.0,-1.0,1.0,1.0,1.0
6305791.0,6.614066666666667,-3.0,-2.0,1.0,2.0,1.0
6305803.0,5.314666666666667,-3.0,3.0,1.0,1.0,1.0
6305807.0,7.2736,-3.0,-3.0,1.0,1.0,1.0
6305808.0,5.336516666666666,-2.0,-3.0,1.0,1.0,1.0
6305811.0,5.937516666666666,-3.0,1.0,1.0,1.0,1.0
6305813.0,4.18985,-3.0,-3.0,1.0,1.0,1.0
6305814.0,6.609566666666667,-3.0,-3.0,1.0,1.0,1.0
6305815.0,4.3571,-3.0,-3.0,1.0,1.0,1.0
6305818.0,5.33305,-3.0,-3.0,1.0,1.0,1.0
6305816.0,4.356983333333333,-3.0,-3.0,1.0,1.0,1.0
6305817.0,5.758349999999999,-3.0,-3.0,1.0,1.0,1.0
6305822.0,13.092683333333333,-3.0,-3.0,1.0,1.0,1.0
6305830.0,4.420483333333333,-2.0,2.0,1.0,1.0,1.0
6305833.0,4.757483333333334,-3.0,-3.0,1.0,1.0,1.0
6305836.0,6.749433333333333,-3.0,-3.0,1.0,1.0,1.0
6305835.0,4.836016666666667,-3.0,-3.0,1.0,1.0,1.0
6305839.0,5.659800000000001,-3.0,-3.0,1.0,1.0,1.0
6305841.0,3.5361,-2.0,-3.0,1.0,1.0,1.0
6305840.0,6.9929499999999996,-3.0,-3.0,1.0,1.0,1.0
6305838.0,8.260666666666667,-3.0,-3.0,1.0,1.0,1.0
6305812.0,5.5838833333333335,1.0,1.0,1.0,1.0,1.0
6305846.0,6.154233333333334,-3.0,3.0,1.0,1.0,1.0
6305844.0,5.222766666666667,-3.0,-3.0,3.0,1.0,1.0
6305848.0,5.0012,-3.0,-1.0,1.0,2.0,1.0
6305832.0,6.452633333333334,-2.0,-2.0,1.0,1.0,1.0
6305853.0,5.637366666666667,-3.0,-3.0,1.0,1.0,1.0
6305851.0,4.212833333333333,-3.0,-1.0,1.0,1.0,1.0
6305852.0,7.16505,-3.0,3.0,1.0,1.0,1.0
6305834.0,5.537816666666667,-3.0,-3.0,1.0,1.0,1.0
6305856.0,4.381466666666666,-3.0,1.0,1.0,1.0,1.0
6305850.0,7.624433333333333,-2.0,3.0,1.0,1.0,1.0
6305854.0,16.91838333333333,-3.0,-3.0,1.0,1.0,1.0
6305858.0,6.901866666666667,-3.0,-3.0,1.0,1.0,1.0
6305861.0,6.487799999999999,-3.0,-3.0,1.0,1.0,1.0
6305865.0,3.7480333333333333,-3.0,-1.0,1.0,1.0,1.0
6305867.0,6.697016666666667,-3.0,-3.0,1.0,1.0,1.0
6305876.0,3.48935,-2.0,1.0,1.0,1.0,1.0
6305877.0,5.102166666666666,-3.0,-2.0,1.0,1.0,1.0
6305873.0,5.7264,-3.0,-3.0,1.0,1.0,1.0
6305879.0,4.221566666666667,-3.0,-1.0,1.0,1.0,1.0
6305880.0,3.7450666666666668,-3.0,-3.0,1.0,1.0,1.0
6305882.0,6.27665,-2.0,1.0,1.0,1.0,1.0
6305886.0,2.8274666666666666,-3.0,-3.0,1.0,1.0,1.0
6305888.0,4.20505,-3.0,-3.0,1.0,1.0,1.0
6305895.0,8.551283333333334,-3.0,-3.0,1.0,1.0,1.0
6305901.0,5.716216666666667,-3.0,-3.0,1.0,1.0,1.0
6305831.0,5.086266666666666,-3.0,-3.0,1.0,1.0,1.0
6305907.0,6.5380666666666665,-3.0,-1.0,2.0,1.0,1.0
6305908.0,6.020116666666667,-3.0,-3.0,1.0,1.0,1.0
6305912.0,15.945383333333332,-3.0,-1.0,1.0,1.0,1.0
6305917.0,4.335733333333334,-3.0,-3.0,1.0,1.0,1.0
6305920.0,4.144283333333333,-3.0,-3.0,1.0,1.0,1.0
6305925.0,4.177433333333333,-3.0,-3.0,1.0,1.0,1.0
6305931.0,5.0903,-3.0,-2.0,1.0,1.0,1.0
6305940.0,3.1591666666666667,-2.0,-2.0,1.0,1.0,1.0
6305939.0,4.2264,-3.0,-2.0,1.0,1.0,1.0
6305948.0,4.848983333333334,-3.0,-3.0,1.0,1.0,1.0
6305936.0,11.2523,-3.0,-3.0,1.0,1.0,1.0
6305961.0,4.9130666666666665,-3.0,-3.0,1.0,1.0,1.0
6305935.0,6.938566666666667,-3.0,-3.0,1.0,1.0,1.0
6305976.0,4.605433333333334,-3.0,-2.0,1.0,1.0,1.0
6305980.0,12.9985,-3.0,-1.0,1.0,1.0,1.0
6305991.0,8.95495,-3.0,-1.0,1.0,1.0,1.0
6306008.0,12.547733333333333,-3.0,-1.0,1.0,2.0,1.0
6306037.0,9.28395,-1.0,-1.0,1.0,1.0,1.0
6306121.0,12.449866666666667,-3.0,1.0,1.0,1.0,1.0
6306226.0,5.836366666666667,-3.0,1.0,1.0,1.0,1.0
6306224.0,7.817616666666667,-2.0,-3.0,1.0,1.0,1.0
