,jelly_fish,artificial_intelligence,god,virus,human,chimpanzee,robot,rock,autonomous_car,computer
jelly_fish,,1.0394736842105263,0.42105263157894735,0.2631578947368421,2.5657894736842106,2.0657894736842106,0.35526315789473684,-2.236842105263158,0.3157894736842105,0.4473684210526316
artificial_intelligence,-1.0394736842105263,,-0.3815789473684211,-0.7631578947368421,1.6842105263157894,0.2631578947368421,-1.2763157894736843,-2.473684210526316,-1.618421052631579,-1.236842105263158
god,-0.42105263157894735,0.3815789473684211,,-0.15789473684210525,1.5263157894736843,0.2894736842105263,-0.17105263157894737,-1.644736842105263,-0.39473684210526316,-0.27631578947368424
virus,-0.2631578947368421,0.7631578947368421,0.15789473684210525,,2.1052631578947367,1.4210526315789473,0.11842105263157894,-2.026315789473684,-0.07894736842105263,0.0
human,-2.5657894736842106,-1.6842105263157894,-1.5263157894736843,-2.1052631578947367,,-2.3026315789473686,-2.0789473684210527,-2.789473684210526,-2.3289473684210527,-2.0
chimpanzee,-2.0657894736842106,-0.2631578947368421,-0.2894736842105263,-1.4210526315789473,2.3026315789473686,,-0.8421052631578947,-2.5,-1.2236842105263157,-0.75
robot,-0.35526315789473684,1.2763157894736843,0.17105263157894737,-0.11842105263157894,2.0789473684210527,0.8421052631578947,,-2.276315789473684,-0.6447368421052632,0.14473684210526316
rock,2.236842105263158,2.473684210526316,1.644736842105263,2.026315789473684,2.789473684210526,2.5,2.276315789473684,,2.026315789473684,2.3289473684210527
autonomous_car,-0.3157894736842105,1.618421052631579,0.39473684210526316,0.07894736842105263,2.3289473684210527,1.2236842105263157,0.6447368421052632,-2.026315789473684,,0.8026315789473685
computer,-0.4473684210526316,1.236842105263158,0.27631578947368424,0.0,2.0,0.75,-0.14473684210526316,-2.3289473684210527,-0.8026315789473685,
