part_id,words,reaction_time,words_left,words_right,left_score,right_score,left_score_binary,right_score_binary,sense_response
6305770.0,0,21905.0,jelly_fish,autonomous_car,-1,1,0,1,
6305770.0,1,3349.0,chimpanzee,robot,2,-2,1,0,
6305770.0,2,2321.0,chimpanzee,computer,2,-2,1,0,
6305770.0,3,2562.0,rock,autonomous_car,-1,1,0,1,
6305770.0,4,3552.0,virus,robot,1,-1,1,0,
6305770.0,5,5373.0,jelly_fish,rock,1,-1,1,0,
6305770.0,6,4564.0,jelly_fish,computer,2,-2,1,0,
6305770.0,7,2297.0,jelly_fish,god,2,-2,1,0,
6305770.0,8,5319.0,god,rock,-1,1,0,1,
6305770.0,9,3731.0,god,autonomous_car,-2,2,0,1,
6305770.0,10,2350.0,human,rock,3,-3,1,0,
6305770.0,11,2102.0,chimpanzee,jelly_fish,2,-2,1,0,
6305770.0,12,4698.0,chimpanzee,human,-1,1,0,1,
6305770.0,13,2722.0,virus,rock,2,-2,1,0,
6305770.0,14,5605.0,artificial_intelligence,rock,2,-2,1,0,
6305770.0,15,2545.0,chimpanzee,artificial_intelligence,3,-3,1,0,
6305770.0,16,2216.0,rock,computer,-1,1,0,1,
6305770.0,17,3945.0,human,computer,3,-3,1,0,
6305770.0,18,2829.0,virus,computer,1,-1,1,0,
6305770.0,19,4411.0,artificial_intelligence,autonomous_car,1,-1,1,0,
6305770.0,20,3446.0,robot,autonomous_car,-1,1,0,1,
6305770.0,21,2727.0,chimpanzee,autonomous_car,3,-3,1,0,
6305770.0,22,2517.0,robot,artificial_intelligence,-1,1,0,1,
6305770.0,23,2224.0,virus,artificial_intelligence,2,-2,1,0,
6305770.0,24,2345.0,robot,human,-3,3,0,1,
6305770.0,25,2498.0,virus,autonomous_car,1,-1,1,0,
6305770.0,26,2574.0,artificial_intelligence,god,2,-2,1,0,
6305770.0,27,2114.0,jelly_fish,robot,2,-2,1,0,
6305770.0,28,3103.0,artificial_intelligence,computer,1,-1,1,0,
6305770.0,29,4565.0,jelly_fish,human,-3,3,0,1,
6305770.0,30,2091.0,god,computer,-2,2,0,1,
6305770.0,31,2035.0,human,god,3,-3,1,0,
6305770.0,32,1989.0,robot,rock,1,-1,1,0,
6305770.0,33,3392.0,human,autonomous_car,3,-3,1,0,
6305770.0,34,8766.0,chimpanzee,god,3,-3,1,0,
6305770.0,35,10612.0,jelly_fish,virus,2,-2,1,0,
6305770.0,36,15668.0,robot,god,2,-2,1,0,
6305770.0,37,13098.0,robot,computer,-1,1,0,1,
6305770.0,38,6201.0,chimpanzee,rock,2,-2,1,0,
6305770.0,39,8834.0,autonomous_car,computer,1,-1,1,0,
