,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness
0,6503088.0,human,49350.0,1,95.0,97.0,97.0,96.0,97.0,99.0,99.0,100.0,98.0,97.0,98.0,99.0,98.0,97.0
1,6503088.0,rock,29951.0,1,12.0,18.0,2.0,38.0,3.0,4.0,20.0,11.0,4.0,2.0,1.0,2.0,3.0,3.0
17,6503088.0,hammer,28539.0,1,2.0,22.0,2.0,3.0,3.0,3.0,3.0,15.0,2.0,2.0,3.0,3.0,18.0,33.0
20,6503093.0,rock,72758.5,1,2.0,1.0,2.0,1.0,1.0,2.0,67.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0
21,6503093.0,human,71795.39999999851,1,100.0,96.0,95.0,97.0,99.0,97.0,96.0,96.0,97.0,95.0,99.0,56.0,50.0,98.0
37,6503093.0,hammer,28795.0,1,3.0,24.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0
40,6503090.0,rock,35974.299999999814,1,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,6503090.0,human,17571.299999999814,1,100.0,100.0,100.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0
57,6503090.0,hammer,22189.0,1,100.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
60,6503121.0,human,74140.39999997616,1,67.0,100.0,87.0,87.0,98.0,99.0,98.0,100.0,100.0,100.0,100.0,88.0,79.0,100.0
61,6503121.0,rock,73713.90000009537,1,72.0,23.0,14.0,12.0,9.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
77,6503121.0,hammer,49871.89999997616,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,27.0,0.0
80,6503474.0,human,72131.30000001192,1,73.0,49.0,88.0,76.0,95.0,64.0,69.0,80.0,82.0,82.0,88.0,62.0,5.0,76.0
81,6503474.0,rock,34148.30000001192,1,9.0,68.0,1.0,2.0,1.0,2.0,1.0,0.0,6.0,4.0,4.0,42.0,1.0,2.0
97,6503474.0,hammer,32468.60000002384,1,47.0,11.0,4.0,6.0,3.0,7.0,5.0,32.0,16.0,9.0,6.0,5.0,9.0,4.0
100,6503085.0,rock,80165.40000003576,2,11.0,63.0,0.0,0.0,2.0,2.0,54.0,16.0,2.0,3.0,1.0,4.0,4.0,4.0
101,6503085.0,human,75939.30000001192,2,96.0,97.0,99.0,90.0,89.0,79.0,97.0,98.0,97.0,76.0,97.0,76.0,99.0,84.0
117,6503085.0,hammer,36086.80000001192,2,1.0,8.0,1.0,1.0,1.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0
120,6503094.0,rock,44777.0,2,1.0,1.0,0.0,1.0,1.0,1.0,79.0,20.0,2.0,1.0,0.0,98.0,1.0,0.0
121,6503094.0,human,31586.0,2,98.0,98.0,98.0,12.0,99.0,99.0,100.0,98.0,98.0,99.0,86.0,99.0,22.0,99.0
137,6503094.0,hammer,34658.70000000112,2,93.0,1.0,1.0,3.0,1.0,2.0,74.0,14.0,1.0,1.0,1.0,2.0,93.0,2.0
140,6503099.0,rock,47409.40000000014,2,13.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
141,6503099.0,human,45276.19999999995,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0
157,6503099.0,hammer,21773.499999999767,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
160,6503095.0,rock,73007.20000000298,2,30.0,75.0,0.0,5.0,0.0,0.0,66.0,74.0,0.0,0.0,0.0,0.0,11.0,0.0
161,6503095.0,human,38420.30000001192,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,71.0,48.0,100.0
177,6503095.0,hammer,20346.5,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
180,6503163.0,human,29921.5,2,100.0,100.0,100.0,71.0,100.0,82.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0
181,6503163.0,rock,25656.90000000596,2,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
197,6503163.0,hammer,14833.0,2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,100.0,0.0,0.0,0.0,0.0,100.0
200,6503081.0,rock,52263.60000002384,3,0.0,24.0,0.0,16.0,0.0,0.0,49.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0
201,6503081.0,human,27090.5,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
