,part_id,word,reaction_time,slider_order,energy,complexity,movement,replication,communication,monitoring,reaction,variety,mistakes,learning,goal_setting,freewill,agency,goal_directedness,cluster
0,6503088.0,human,49350.0,1,95.0,97.0,97.0,96.0,97.0,99.0,99.0,100.0,98.0,97.0,98.0,99.0,98.0,97.0,5.0
1,6503088.0,rock,29951.0,1,12.0,18.0,2.0,38.0,3.0,4.0,20.0,11.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0
2,6503088.0,thermostat,27408.0,1,45.0,61.0,1.0,1.0,23.0,1.0,66.0,3.0,31.0,2.0,2.0,2.0,10.0,3.0,3.0
3,6503088.0,smartphone,33909.0,1,87.0,89.0,3.0,2.0,29.0,35.0,56.0,98.0,66.0,27.0,1.0,1.0,38.0,22.0,2.0
4,6503088.0,chicken,32955.0,1,81.0,77.0,100.0,98.0,64.0,33.0,50.0,66.0,56.0,91.0,18.0,60.0,45.0,18.0,0.0
5,6503088.0,chimpanzee,27081.0,1,95.0,97.0,96.0,95.0,99.0,98.0,97.0,98.0,98.0,99.0,70.0,98.0,92.0,54.0,5.0
6,6503088.0,jelly_fish,33268.0,1,99.0,49.0,67.0,96.0,23.0,26.0,85.0,50.0,44.0,47.0,15.0,59.0,31.0,31.0,0.0
7,6503088.0,car,27854.0,1,97.0,97.0,18.0,3.0,20.0,12.0,35.0,39.0,27.0,0.0,3.0,2.0,4.0,4.0,3.0
8,6503088.0,biological_virus,37023.0,1,57.0,8.0,16.0,35.0,1.0,0.0,49.0,20.0,0.0,20.0,16.0,42.0,27.0,26.0,4.0
9,6503088.0,virtual_assistant,48947.0,1,86.0,71.0,2.0,2.0,85.0,21.0,41.0,42.0,65.0,32.0,19.0,14.0,50.0,41.0,2.0
10,6503088.0,artificial_intelligence,31699.0,1,97.0,98.0,41.0,20.0,64.0,64.0,61.0,62.0,81.0,87.0,38.0,23.0,42.0,43.0,2.0
11,6503088.0,computer_virus,30826.0,1,98.0,27.0,37.0,60.0,19.0,18.0,39.0,22.0,48.0,42.0,22.0,22.0,41.0,50.0,4.0
12,6503088.0,computer,32125.0,1,97.0,97.0,3.0,23.0,97.0,72.0,63.0,95.0,43.0,43.0,18.0,4.0,45.0,70.0,2.0
13,6503088.0,robot_vacuum_cleaner,34172.0,1,97.0,97.0,97.0,3.0,50.0,34.0,37.0,21.0,48.0,33.0,1.0,1.0,41.0,84.0,3.0
14,6503088.0,wristwatch,31974.0,1,97.0,98.0,2.0,1.0,13.0,31.0,55.0,42.0,62.0,17.0,3.0,2.0,71.0,16.0,3.0
15,6503088.0,dolphin,27199.0,1,97.0,98.0,97.0,96.0,55.0,66.0,67.0,47.0,99.0,98.0,44.0,92.0,67.0,40.0,5.0
16,6503088.0,autonomous_car,28633.0,1,96.0,99.0,63.0,4.0,57.0,42.0,42.0,61.0,26.0,29.0,26.0,14.0,57.0,22.0,2.0
17,6503088.0,hammer,28539.0,1,2.0,22.0,2.0,3.0,3.0,3.0,3.0,15.0,2.0,2.0,3.0,3.0,18.0,33.0,1.0
18,6503088.0,robot,28358.0,1,98.0,98.0,99.0,3.0,79.0,66.0,40.0,41.0,49.0,37.0,22.0,17.0,68.0,36.0,2.0
19,6503088.0,tree,35295.0,1,1.0,98.0,2.0,78.0,26.0,28.0,100.0,17.0,2.0,17.0,36.0,41.0,38.0,28.0,4.0
20,6503093.0,rock,72758.5,1,2.0,1.0,2.0,1.0,1.0,2.0,67.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0
21,6503093.0,human,71795.39999999851,1,100.0,96.0,95.0,97.0,99.0,97.0,96.0,96.0,97.0,95.0,99.0,56.0,50.0,98.0,5.0
22,6503093.0,virtual_assistant,36141.39999999851,1,96.0,47.0,0.0,0.0,48.0,57.0,56.0,75.0,73.0,55.0,0.0,2.0,2.0,6.0,2.0
23,6503093.0,computer_virus,27736.40000000596,1,98.0,30.0,9.0,33.0,14.0,3.0,30.0,11.0,27.0,9.0,1.0,0.0,8.0,4.0,4.0
24,6503093.0,chimpanzee,31130.70000000298,1,100.0,100.0,100.0,100.0,56.0,56.0,59.0,71.0,77.0,58.0,66.0,57.0,41.0,68.0,5.0
25,6503093.0,biological_virus,33878.70000000298,1,17.0,38.0,48.0,60.0,1.0,1.0,44.0,49.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0
26,6503093.0,autonomous_car,65953.69999999553,1,97.0,99.0,24.0,1.0,9.0,68.0,79.0,52.0,92.0,94.0,60.0,4.0,8.0,19.0,2.0
27,6503093.0,wristwatch,1133294.100000009,1,46.0,46.0,4.0,2.0,2.0,10.0,2.0,4.0,11.0,2.0,3.0,1.0,3.0,1.0,3.0
28,6503093.0,smartphone,41470.5,1,79.0,81.0,1.0,2.0,16.0,25.0,19.0,35.0,42.0,36.0,9.0,3.0,1.0,2.0,2.0
29,6503093.0,jelly_fish,47409.59999999404,1,95.0,23.0,35.0,100.0,10.0,40.0,43.0,45.0,54.0,55.0,65.0,66.0,39.0,68.0,0.0
30,6503093.0,computer,45914.5,1,95.0,43.0,2.0,3.0,41.0,51.0,19.0,52.0,62.0,43.0,2.0,3.0,2.0,2.0,2.0
31,6503093.0,tree,49406.29999999702,1,94.0,45.0,2.0,45.0,1.0,68.0,76.0,34.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
32,6503093.0,robot_vacuum_cleaner,56172.80000001192,1,92.0,58.0,97.0,1.0,22.0,58.0,61.0,22.0,65.0,71.0,40.0,2.0,4.0,24.0,3.0
33,6503093.0,chicken,95963.60000000894,1,92.0,70.0,93.0,96.0,30.0,56.0,73.0,74.0,70.0,72.0,71.0,49.0,44.0,33.0,0.0
34,6503093.0,thermostat,75708.89999999106,1,85.0,47.0,0.0,1.0,4.0,3.0,24.0,1.0,8.0,0.0,3.0,1.0,2.0,4.0,3.0
35,6503093.0,artificial_intelligence,98217.5,1,99.0,46.0,1.0,0.0,58.0,68.0,69.0,69.0,70.0,68.0,65.0,57.0,55.0,65.0,2.0
36,6503093.0,dolphin,77966.40000000596,1,89.0,89.0,90.0,88.0,72.0,78.0,82.0,81.0,84.0,84.0,80.0,81.0,78.0,76.0,5.0
37,6503093.0,hammer,28795.0,1,3.0,24.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0
38,6503093.0,robot,159555.39999999106,1,99.0,55.0,35.0,2.0,53.0,59.0,50.0,59.0,64.0,41.0,51.0,1.0,4.0,39.0,2.0
39,6503093.0,car,121269.59999999404,1,95.0,48.0,1.0,2.0,4.0,31.0,42.0,32.0,20.0,6.0,0.0,3.0,4.0,4.0,3.0
40,6503090.0,rock,35974.299999999814,1,0.0,46.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,6503090.0,human,17571.299999999814,1,100.0,100.0,100.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,5.0
42,6503090.0,dolphin,39509.800000000745,1,100.0,99.0,99.0,99.0,68.0,73.0,80.0,79.0,79.0,78.0,40.0,89.0,60.0,3.0,5.0
43,6503090.0,car,39419.59999999963,1,100.0,100.0,31.0,0.0,42.0,42.0,37.0,12.0,1.0,13.0,0.0,0.0,0.0,0.0,3.0
44,6503090.0,tree,24575.299999999814,1,100.0,100.0,100.0,100.0,25.0,0.0,100.0,2.0,0.0,1.0,0.0,52.0,3.0,2.0,4.0
45,6503090.0,chicken,43237.800000000745,1,100.0,100.0,99.0,99.0,29.0,27.0,88.0,54.0,57.0,60.0,1.0,68.0,0.0,0.0,0.0
46,6503090.0,smartphone,28703.400000000373,1,100.0,100.0,57.0,0.0,42.0,64.0,59.0,100.0,22.0,54.0,1.0,1.0,2.0,1.0,2.0
47,6503090.0,thermostat,27273.300000000745,1,100.0,59.0,0.0,0.0,46.0,35.0,51.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0
48,6503090.0,chimpanzee,22844.200000000183,1,99.0,100.0,99.0,99.0,73.0,74.0,78.0,82.0,79.0,86.0,40.0,64.0,56.0,53.0,5.0
49,6503090.0,virtual_assistant,21331.400000000373,1,100.0,100.0,0.0,0.0,72.0,67.0,65.0,72.0,35.0,69.0,0.0,0.0,0.0,0.0,2.0
50,6503090.0,robot,21887.0,1,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,0.0,0.0,0.0,1.0,2.0
51,6503090.0,autonomous_car,22207.400000000373,1,100.0,100.0,100.0,0.0,63.0,62.0,66.0,44.0,66.0,63.0,0.0,0.0,1.0,0.0,2.0
52,6503090.0,wristwatch,20035.69999999925,1,100.0,99.0,0.0,0.0,51.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0
53,6503090.0,artificial_intelligence,22792.5,1,99.0,99.0,36.0,98.0,98.0,99.0,99.0,98.0,99.0,98.0,28.0,1.0,1.0,35.0,2.0
54,6503090.0,computer,21229.299999999814,1,99.0,99.0,0.0,0.0,62.0,64.0,62.0,100.0,15.0,37.0,0.0,0.0,0.0,0.0,2.0
55,6503090.0,computer_virus,20537.700000000183,1,100.0,99.0,31.0,100.0,67.0,67.0,71.0,74.0,12.0,87.0,1.0,2.0,0.0,0.0,4.0
56,6503090.0,robot_vacuum_cleaner,21054.39999999944,1,100.0,100.0,100.0,0.0,67.0,69.0,67.0,9.0,42.0,89.0,1.0,0.0,0.0,0.0,3.0
57,6503090.0,hammer,22189.0,1,100.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
58,6503090.0,jelly_fish,18751.300000000745,1,100.0,36.0,100.0,100.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0
59,6503090.0,biological_virus,29035.800000000745,1,100.0,100.0,100.0,100.0,14.0,50.0,56.0,42.0,8.0,51.0,0.0,30.0,0.0,0.0,4.0
60,6503121.0,human,74140.39999997616,1,67.0,100.0,87.0,87.0,98.0,99.0,98.0,100.0,100.0,100.0,100.0,88.0,79.0,100.0,5.0
61,6503121.0,rock,73713.90000009537,1,72.0,23.0,14.0,12.0,9.0,0.0,12.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0
62,6503121.0,computer,87020.89999997616,1,100.0,100.0,0.0,0.0,80.0,89.0,42.0,93.0,55.0,28.0,4.0,0.0,5.0,4.0,2.0
63,6503121.0,computer_virus,159218.20000004768,1,70.0,67.0,26.0,90.0,46.0,45.0,16.0,17.0,13.0,13.0,6.0,21.0,67.0,32.0,4.0
64,6503121.0,wristwatch,61318.59999990463,1,93.0,44.0,2.0,0.0,64.0,24.0,37.0,31.0,32.0,7.0,9.0,16.0,18.0,9.0,3.0
65,6503121.0,robot,159033.79999995232,1,100.0,100.0,45.0,23.0,66.0,34.0,59.0,80.0,23.0,27.0,24.0,8.0,22.0,16.0,2.0
66,6503121.0,smartphone,123555.30000007153,1,100.0,100.0,0.0,0.0,65.0,74.0,42.0,81.0,33.0,14.0,6.0,0.0,25.0,17.0,2.0
67,6503121.0,biological_virus,40159.79999995232,1,30.0,25.0,38.0,100.0,0.0,0.0,29.0,9.0,13.0,49.0,0.0,86.0,0.0,0.0,4.0
68,6503121.0,thermostat,103542.20000004768,1,100.0,70.0,0.0,0.0,6.0,34.0,25.0,13.0,35.0,0.0,2.0,0.0,20.0,0.0,3.0
69,6503121.0,car,40964.60000002384,1,100.0,100.0,100.0,0.0,29.0,31.0,28.0,35.0,47.0,0.0,0.0,0.0,25.0,11.0,3.0
70,6503121.0,tree,173832.39999997616,1,76.0,44.0,0.0,86.0,22.0,0.0,89.0,5.0,5.0,55.0,0.0,19.0,3.0,3.0,4.0
71,6503121.0,artificial_intelligence,42000.79999995232,1,99.0,100.0,46.0,15.0,83.0,57.0,59.0,80.0,40.0,18.0,10.0,4.0,20.0,35.0,2.0
72,6503121.0,jelly_fish,94808.10000002384,1,65.0,7.0,48.0,95.0,19.0,1.0,56.0,10.0,59.0,57.0,6.0,93.0,2.0,19.0,0.0
73,6503121.0,robot_vacuum_cleaner,78425.0,1,100.0,98.0,19.0,0.0,40.0,36.0,42.0,36.0,38.0,8.0,4.0,2.0,44.0,8.0,3.0
74,6503121.0,chimpanzee,65020.10000002384,1,99.0,100.0,100.0,100.0,22.0,10.0,80.0,72.0,75.0,21.0,5.0,84.0,7.0,5.0,5.0
75,6503121.0,virtual_assistant,40729.300000071526,1,100.0,100.0,0.0,0.0,90.0,45.0,64.0,51.0,78.0,3.0,2.0,2.0,75.0,6.0,2.0
76,6503121.0,dolphin,89901.40000009537,1,100.0,100.0,100.0,100.0,30.0,0.0,87.0,69.0,66.0,13.0,16.0,86.0,4.0,3.0,5.0
77,6503121.0,hammer,49871.89999997616,1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,27.0,0.0,1.0
78,6503121.0,chicken,34792.09999990463,1,100.0,100.0,100.0,100.0,41.0,40.0,66.0,56.0,62.0,11.0,0.0,86.0,2.0,0.0,0.0
79,6503121.0,autonomous_car,72109.89999997616,1,100.0,100.0,44.0,0.0,46.0,63.0,37.0,57.0,61.0,2.0,3.0,2.0,49.0,3.0,2.0
80,6503474.0,human,72131.30000001192,1,73.0,49.0,88.0,76.0,95.0,64.0,69.0,80.0,82.0,82.0,88.0,62.0,5.0,76.0,5.0
81,6503474.0,rock,34148.30000001192,1,9.0,68.0,1.0,2.0,1.0,2.0,1.0,0.0,6.0,4.0,4.0,42.0,1.0,2.0,1.0
82,6503474.0,artificial_intelligence,31962.39999997616,1,45.0,90.0,28.0,61.0,34.0,45.0,62.0,71.0,92.0,89.0,72.0,17.0,23.0,57.0,2.0
83,6503474.0,chicken,33958.89999997616,1,45.0,63.0,93.0,88.0,40.0,45.0,91.0,43.0,60.0,21.0,9.0,13.0,9.0,14.0,0.0
84,6503474.0,computer_virus,29348.79999995232,1,65.0,89.0,39.0,81.0,16.0,29.0,68.0,58.0,36.0,71.0,56.0,9.0,13.0,45.0,4.0
85,6503474.0,chimpanzee,36508.59999996424,1,71.0,80.0,93.0,92.0,61.0,50.0,83.0,73.0,80.0,34.0,23.0,64.0,15.0,14.0,5.0
86,6503474.0,wristwatch,35073.0,1,77.0,92.0,17.0,4.0,1.0,30.0,44.0,45.0,77.0,9.0,18.0,10.0,8.0,11.0,3.0
87,6503474.0,biological_virus,35292.39999997616,1,65.0,69.0,93.0,97.0,16.0,24.0,84.0,47.0,57.0,22.0,57.0,17.0,12.0,19.0,4.0
