,total_time_min,rock_human_score,rock_god_score,math1_num_resp,math2_num_resp,math3_num_resp
5e8f4d8918ca6c2314765d92,7.9853,-3.0,-3.0,3.0,1.0,1.0
614b53c4e3ff9739cc026895,4.849533333333333,-3.0,-1.0,1.0,1.0,1.0
61133b44c0f877a21f27c3ee,11.28335,-3.0,-3.0,1.0,1.0,1.0
61088dc29d639b015d4cd918,4.899516666666667,-3.0,-3.0,1.0,1.0,1.0
6175b756491e339b289ca959,5.419700000000001,-3.0,1.0,1.0,1.0,1.0
60ad33772c5d282d6a2021e8,9.734766666666667,-2.0,-2.0,1.0,1.0,3.0
5d42a9f671d697001af667fc,9.101066666666666,-2.0,2.0,1.0,1.0,1.0
613a639002c088d7e68b80a9,8.07755,-3.0,-2.0,1.0,1.0,1.0
5ed91f1e9c985546085a116f,8.059566666666667,-3.0,-3.0,1.0,1.0,1.0
6131cf33d4b5c450b104ca9e,7.5582,-2.0,2.0,1.0,1.0,1.0
6141bdf9ebdc730adcc8d332,13.864516666666667,-3.0,-3.0,1.0,1.0,1.0
5ebc6f18c323480b94409c78,16.48346666666667,-2.0,-3.0,1.0,1.0,1.0
613eba54614a8826b829b734,233.78861666666666,-3.0,-1.0,1.0,1.0,1.0
601f3d6a08d6ec47b04ca28a,5.086666666666667,-2.0,-1.0,1.0,1.0,1.0
611ae4c41ac95c70c7d2e67b,6.56425,-3.0,1.0,1.0,1.0,1.0
5c38642b1ede2b0001156a1b,33.91086666666667,-3.0,1.0,1.0,1.0,1.0
6163f0438cdf8e3d44667f2f,8.598833333333333,-2.0,1.0,1.0,1.0,1.0
60f56f0103876eae7c0d870f,11.279533333333335,-3.0,-3.0,1.0,1.0,1.0
6166ef334de9e433e83bfb79,8.863566666666665,-3.0,-3.0,1.0,1.0,1.0
60143a1a222eb43daf203877,7.41795,-3.0,-3.0,1.0,1.0,1.0
615ddcbe6b2ef828956206f5,4.6016,1.0,1.0,1.0,1.0,1.0
5fb4f660e7d1522e042020df,6.337766666666667,-3.0,-3.0,1.0,1.0,1.0
60ff113dd2eee15e8f4dfeee,7.592833333333333,-3.0,-3.0,1.0,1.0,1.0
613d398018d33fdb9701ed19,4.1006833333333335,-2.0,-2.0,1.0,1.0,1.0
5ddedc1ac5faa2e4d356d45d,4.100716666666667,-3.0,-3.0,1.0,1.0,1.0
6107a72fb967e5834664701f,5.303533333333333,-2.0,-3.0,1.0,1.0,1.0
5999ad2a0ed7ae0001991b57,2.837,-2.0,-1.0,1.0,1.0,1.0
613e0db08ed0a1b88e057a44,3.3936833333333336,-2.0,-1.0,1.0,1.0,1.0
5f20df2af5d0c24208c88315,4.578166666666666,-3.0,-3.0,1.0,1.0,1.0
5e95b5ae0295ea01d7ce532b,6.696383333333333,-2.0,-1.0,1.0,1.0,1.0
5e307a080551ae02939239f3,4.628266666666667,-3.0,-3.0,1.0,1.0,1.0
60339afe243dc403d0e2eab1,11.1617,-3.0,-3.0,1.0,1.0,1.0
60e1c5e1e506ceb7e0d46bae,6.4022499999999996,-3.0,-3.0,1.0,1.0,1.0
6155dbebf281b0d024a1547e,11.4902,-3.0,-3.0,3.0,1.0,1.0
60fca702ccf4e75d6baf1fc2,5.46565,-3.0,-2.0,1.0,1.0,1.0
6106fd38393f15b301d745d2,6.6518999999999995,-3.0,3.0,1.0,1.0,1.0
5e5b08677394743009ffcc8b,15.268949999999998,-2.0,-1.0,1.0,1.0,1.0
6090397fdf27ef27909b759c,9.650366666666667,-3.0,-3.0,1.0,1.0,1.0
609d83db80dca3574b10fc71,8.575816666666666,-2.0,-1.0,1.0,1.0,1.0
5ea352855d02232c906f62d8,11.8988,-2.0,-1.0,1.0,1.0,1.0
611d90d349308db31d30014f,7.268683333333333,-3.0,-3.0,1.0,1.0,1.0
5fe7b6d7baa7c46725b4e530,7.8955166666666665,-3.0,1.0,1.0,1.0,1.0
6063211b7de1f848fb436f5c,10.685466666666667,-3.0,1.0,1.0,1.0,1.0
6106ce151a47f7b687062eea,6.06535,-3.0,-2.0,1.0,1.0,1.0
5eaf0e378f26940719d2b02e,5.517533333333334,-2.0,-1.0,1.0,1.0,1.0
6143273ed573af378dd0a0cb,9.605183333333335,-3.0,3.0,1.0,1.0,1.0
60399236302d0732bdb88541,9.277133333333333,-3.0,-3.0,1.0,1.0,1.0
614d9ea7c87980229c834d21,8.4364,-3.0,-1.0,1.0,1.0,1.0
607de1d480f76e94ffb6e0ab,5.47895,-3.0,-3.0,1.0,1.0,1.0
5d20e2135278fa00014814c0,13.335049999999999,-3.0,-3.0,1.0,1.0,1.0
60fb0cd3aa10c5ef5100190b,7.686216666666667,-3.0,-3.0,1.0,1.0,1.0
611e3c4f4eae320e94284ea7,12.020466666666666,-3.0,3.0,1.0,1.0,1.0
