part_id,word,chimpanzee,jelly_fish,autonomous_car,virus,human,robot,rock,artificial_intelligence,god,computer
5e8f4d8918ca6c2314765d92,chimpanzee,,-2.0,-1.0,-2.0,2.0,-2.0,-2.0,-1.0,2.0,-1.0
5e8f4d8918ca6c2314765d92,jelly_fish,2.0,,-1.0,1.0,3.0,1.0,-2.0,2.0,3.0,2.0
5e8f4d8918ca6c2314765d92,autonomous_car,1.0,1.0,,2.0,3.0,1.0,-1.0,2.0,3.0,1.0
5e8f4d8918ca6c2314765d92,virus,2.0,-1.0,-2.0,,3.0,1.0,-2.0,1.0,1.0,-1.0
5e8f4d8918ca6c2314765d92,human,-2.0,-3.0,-3.0,-3.0,,-2.0,-3.0,-3.0,1.0,-2.0
5e8f4d8918ca6c2314765d92,robot,2.0,-1.0,-1.0,-1.0,2.0,,-2.0,2.0,2.0,1.0
5e8f4d8918ca6c2314765d92,rock,2.0,2.0,1.0,2.0,3.0,2.0,,2.0,3.0,3.0
5e8f4d8918ca6c2314765d92,artificial_intelligence,1.0,-2.0,-2.0,-1.0,3.0,-2.0,-2.0,,1.0,-2.0
5e8f4d8918ca6c2314765d92,god,-2.0,-3.0,-3.0,-1.0,-1.0,-2.0,-3.0,-1.0,,-3.0
5e8f4d8918ca6c2314765d92,computer,1.0,-2.0,-1.0,1.0,2.0,-1.0,-3.0,2.0,3.0,
614b53c4e3ff9739cc026895,chimpanzee,,-2.0,2.0,-1.0,-3.0,-3.0,-3.0,3.0,-2.0,3.0
614b53c4e3ff9739cc026895,jelly_fish,2.0,,3.0,2.0,3.0,3.0,-1.0,2.0,3.0,3.0
614b53c4e3ff9739cc026895,autonomous_car,-2.0,-3.0,,-2.0,-3.0,2.0,-2.0,-2.0,-3.0,-3.0
614b53c4e3ff9739cc026895,virus,1.0,-2.0,2.0,,3.0,2.0,-3.0,2.0,-3.0,3.0
614b53c4e3ff9739cc026895,human,3.0,-3.0,3.0,-3.0,,2.0,-3.0,3.0,-3.0,3.0
614b53c4e3ff9739cc026895,robot,3.0,-3.0,-2.0,-2.0,-2.0,,-3.0,3.0,-2.0,-2.0
614b53c4e3ff9739cc026895,rock,3.0,1.0,2.0,3.0,3.0,3.0,,3.0,1.0,3.0
614b53c4e3ff9739cc026895,artificial_intelligence,-3.0,-2.0,2.0,-2.0,-3.0,-3.0,-3.0,,-3.0,-3.0
614b53c4e3ff9739cc026895,god,2.0,-3.0,3.0,3.0,3.0,2.0,-1.0,3.0,,3.0
614b53c4e3ff9739cc026895,computer,-3.0,-3.0,3.0,-3.0,-3.0,2.0,-3.0,3.0,-3.0,
61133b44c0f877a21f27c3ee,chimpanzee,,-1.0,2.0,1.0,3.0,1.0,-2.0,2.0,2.0,3.0
61133b44c0f877a21f27c3ee,jelly_fish,1.0,,2.0,1.0,3.0,1.0,-2.0,3.0,2.0,3.0
61133b44c0f877a21f27c3ee,autonomous_car,-2.0,-2.0,,-1.0,2.0,-1.0,-2.0,1.0,1.0,1.0
61133b44c0f877a21f27c3ee,virus,-1.0,-1.0,1.0,,2.0,-1.0,-3.0,2.0,1.0,2.0
61133b44c0f877a21f27c3ee,human,-3.0,-3.0,-2.0,-2.0,,-2.0,-3.0,-2.0,1.0,-2.0
61133b44c0f877a21f27c3ee,robot,-1.0,-1.0,1.0,1.0,2.0,,-3.0,1.0,1.0,1.0
61133b44c0f877a21f27c3ee,rock,2.0,2.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0
61133b44c0f877a21f27c3ee,artificial_intelligence,-2.0,-3.0,-1.0,-2.0,2.0,-1.0,-3.0,,1.0,1.0
61133b44c0f877a21f27c3ee,god,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-3.0,-1.0,,-2.0
61133b44c0f877a21f27c3ee,computer,-3.0,-3.0,-1.0,-2.0,2.0,-1.0,-3.0,-1.0,2.0,
61088dc29d639b015d4cd918,chimpanzee,,-1.0,-2.0,-2.0,2.0,-2.0,-3.0,-2.0,3.0,-2.0
