,chimpanzee,jelly_fish,autonomous_car,virus,human,robot,rock,artificial_intelligence,god,computer
chimpanzee,,0.8076923076923077,0.8076923076923077,0.6923076923076923,0.9615384615384616,0.8461538461538461,0.7307692307692307,0.8653846153846154,0.75,0.8076923076923077
jelly_fish,0.8076923076923077,,0.6730769230769231,0.6730769230769231,0.7884615384615384,0.7307692307692307,0.6730769230769231,0.7307692307692307,0.6730769230769231,0.6923076923076923
autonomous_car,0.8076923076923077,0.6730769230769231,,0.6730769230769231,0.8269230769230769,0.8269230769230769,0.7307692307692307,0.8461538461538461,0.7115384615384616,0.7884615384615384
virus,0.6923076923076923,0.6730769230769231,0.6730769230769231,,0.8653846153846154,0.75,0.6730769230769231,0.7884615384615384,0.75,0.75
human,0.9615384615384616,0.7884615384615384,0.8269230769230769,0.8653846153846154,,0.9615384615384616,0.8461538461538461,0.9423076923076923,0.8846153846153846,0.8846153846153846
robot,0.8461538461538461,0.7307692307692307,0.8269230769230769,0.75,0.9615384615384616,,0.6923076923076923,0.8076923076923077,0.7115384615384616,0.8461538461538461
rock,0.7307692307692307,0.6730769230769231,0.7307692307692307,0.6730769230769231,0.8461538461538461,0.6923076923076923,,0.8076923076923077,0.6346153846153846,0.7307692307692307
artificial_intelligence,0.8653846153846154,0.7307692307692307,0.8461538461538461,0.7884615384615384,0.9423076923076923,0.8076923076923077,0.8076923076923077,,0.7307692307692307,0.8653846153846154
god,0.75,0.6730769230769231,0.7115384615384616,0.75,0.8846153846153846,0.7115384615384616,0.6346153846153846,0.7307692307692307,,0.75
computer,0.8076923076923077,0.6923076923076923,0.7884615384615384,0.75,0.8846153846153846,0.8461538461538461,0.7307692307692307,0.8653846153846154,0.75,
