Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616432338,19/01/2022 18:20:32,1642617013371,0,19/01/2022 18:30:13,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x746,,Demographics,5,No,BEGIN QUESTIONNAIRE,
2,1642616456654,19/01/2022 18:20:56,1642617037709,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,Sex,Male
3,1642616456747,19/01/2022 18:20:56,1642617037711,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,Sex-quantised,2
4,1642616456747,19/01/2022 18:20:56,1642617037712,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,Sex-text,
5,1642616456747,19/01/2022 18:20:56,1642617037712,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,age,21
6,1642616456747,19/01/2022 18:20:56,1642617037712,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,academic,Bachelor's degree (3+)
7,1642616456747,19/01/2022 18:20:56,1642617037712,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,academic-quantised,4
8,1642616456747,19/01/2022 18:20:56,1642617037712,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,revenue,Less that $10 000
9,1642616456747,19/01/2022 18:20:56,1642617037712,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,revenue-quantised,1
10,1642616456747,19/01/2022 18:20:56,1642617037713,0,19/01/2022 18:30:37,70408,19,questionnaire-sgay,,18653369,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Demographics,5,No,politics,35
