Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616115125,19/01/2022 18:15:15,1642616113880,1,19/01/2022 19:15:13,70408,19,questionnaire-hy6v,,18653119,5e8f4d8918ca6c2314765d92,5521538,,complete,,61e8551f323292fad02f078b,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x750,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616129162,19/01/2022 18:15:29,1642616127969,1,19/01/2022 19:15:27,70408,19,questionnaire-hy6v,,18653119,5e8f4d8918ca6c2314765d92,5521538,,complete,,61e8551f323292fad02f078b,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1519x750,,Consent form,3,No,ConsentFlag,1
3,1642616129281,19/01/2022 18:15:29,1642616127971,1,19/01/2022 19:15:27,70408,19,questionnaire-hy6v,,18653119,5e8f4d8918ca6c2314765d92,5521538,,complete,,61e8551f323292fad02f078b,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1519x750,,Consent form,3,No,END QUESTIONNAIRE,14091
1,1642616131031,19/01/2022 18:15:31,1642616130538,-6,19/01/2022 12:15:30,70408,19,questionnaire-hy6v,,18653124,61133b44c0f877a21f27c3ee,5521539,,complete,,61e8553176cccc485ca7cfbf,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 82.0.4227.58,2560x1440,1435x1310,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616177068,19/01/2022 18:16:17,1642616176656,-6,19/01/2022 12:16:16,70408,19,questionnaire-hy6v,,18653124,61133b44c0f877a21f27c3ee,5521539,,complete,,61e8553176cccc485ca7cfbf,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 82.0.4227.58,2560x1440,1435x1310,,Consent form,3,No,ConsentFlag,1
3,1642616177334,19/01/2022 18:16:17,1642616176657,-6,19/01/2022 12:16:16,70408,19,questionnaire-hy6v,,18653124,61133b44c0f877a21f27c3ee,5521539,,complete,,61e8553176cccc485ca7cfbf,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 82.0.4227.58,2560x1440,1435x1310,,Consent form,3,No,END QUESTIONNAIRE,46119
1,1642616129989,19/01/2022 18:15:29,1642616711029,0,19/01/2022 18:25:11,70408,19,questionnaire-hy6v,,18653125,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x746,,Consent form,3,No,BEGIN QUESTIONNAIRE,
2,1642616137790,19/01/2022 18:15:37,1642616718873,0,19/01/2022 18:25:18,70408,19,questionnaire-hy6v,,18653125,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Consent form,3,No,ConsentFlag,1
3,1642616137890,19/01/2022 18:15:37,1642616718874,0,19/01/2022 18:25:18,70408,19,questionnaire-hy6v,,18653125,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1519x746,,Consent form,3,No,END QUESTIONNAIRE,7845
1,1642616155108,19/01/2022 18:15:55,1642616155294,1,19/01/2022 19:15:55,70408,19,questionnaire-hy6v,,18653143,5d42a9f671d697001af667fc,5521547,,complete,,61e8554b64c69f332f6f6a68,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1920x1080,1920x937,,Consent form,3,No,BEGIN QUESTIONNAIRE,
