Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1642616458545,19/01/2022 18:20:58,1642617039555,0,19/01/2022 18:30:39,70408,19,questionnaire-vssi,,18653384,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x746,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616460564,19/01/2022 18:21:00,1642617041626,0,19/01/2022 18:30:41,70408,19,questionnaire-vssi,,18653384,614b53c4e3ff9739cc026895,5521541,,complete,,61e8553766a65b937aad22e4,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x746,,goodbye,1,No,END QUESTIONNAIRE,2071
1,1642616514037,19/01/2022 18:21:54,1642616707159,0,19/01/2022 18:25:07,70408,19,questionnaire-vssi,,18653412,5999ad2a0ed7ae0001991b57,5521601,,complete,,61e855ecf589dedf1f340920,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616515256,19/01/2022 18:21:55,1642616708487,0,19/01/2022 18:25:08,70408,19,questionnaire-vssi,,18653412,5999ad2a0ed7ae0001991b57,5521601,,complete,,61e855ecf589dedf1f340920,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,END QUESTIONNAIRE,1328
1,1642616524500,19/01/2022 18:22:04,1642616524183,-5,19/01/2022 13:22:04,70408,19,questionnaire-vssi,,18653418,61088dc29d639b015d4cd918,5521563,,complete,,61e85576c0cdea440a1dca38,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1378x716,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616526455,19/01/2022 18:22:06,1642616526210,-5,19/01/2022 13:22:06,70408,19,questionnaire-vssi,,18653418,61088dc29d639b015d4cd918,5521563,,complete,,61e85576c0cdea440a1dca38,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1378x716,,goodbye,1,No,END QUESTIONNAIRE,2027
1,1642616554302,19/01/2022 18:22:34,1642616552972,0,19/01/2022 18:22:32,70408,19,questionnaire-vssi,,18653440,613e0db08ed0a1b88e057a44,5521600,,complete,,61e855e4c3575be228318a5c,computer,Desktop or Laptop,Windows 7,Edge 97.0.1072.62,1024x768,1024x657,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616556161,19/01/2022 18:22:36,1642616554914,0,19/01/2022 18:22:34,70408,19,questionnaire-vssi,,18653440,613e0db08ed0a1b88e057a44,5521600,,complete,,61e855e4c3575be228318a5c,computer,Desktop or Laptop,Windows 7,Edge 97.0.1072.62,1024x768,1024x657,,goodbye,1,No,END QUESTIONNAIRE,1942
1,1642616569125,19/01/2022 18:22:49,1642616568875,-6,19/01/2022 12:22:48,70408,19,questionnaire-vssi,,18653449,6175b756491e339b289ca959,5521551,,complete,,61e8555d40c3a71520b545f7,computer,Desktop or Laptop,Windows 10,Firefox 96.0,1920x1080,1920x967,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616574209,19/01/2022 18:22:54,1642616573959,-6,19/01/2022 12:22:53,70408,19,questionnaire-vssi,,18653449,6175b756491e339b289ca959,5521551,,complete,,61e8555d40c3a71520b545f7,computer,Desktop or Laptop,Windows 10,Firefox 96.0,1920x1080,1920x967,,goodbye,1,No,END QUESTIONNAIRE,5084
1,1642616581817,19/01/2022 18:23:01,1642616581567,-6,19/01/2022 12:23:01,70408,19,questionnaire-vssi,,18653460,613d398018d33fdb9701ed19,5521597,,complete,,61e855e75880cd0624878e3e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x712,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616583249,19/01/2022 18:23:03,1642616583042,-6,19/01/2022 12:23:03,70408,19,questionnaire-vssi,,18653460,613d398018d33fdb9701ed19,5521597,,complete,,61e855e75880cd0624878e3e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x712,,goodbye,1,No,END QUESTIONNAIRE,1476
1,1642616585265,19/01/2022 18:23:05,1642616583489,0,19/01/2022 18:23:03,70408,19,questionnaire-vssi,,18653466,601f3d6a08d6ec47b04ca28a,5521568,,complete,,61e8558affccd08026aa7c46,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x726,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616587609,19/01/2022 18:23:07,1642616585867,0,19/01/2022 18:23:05,70408,19,questionnaire-vssi,,18653466,601f3d6a08d6ec47b04ca28a,5521568,,complete,,61e8558affccd08026aa7c46,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x726,,goodbye,1,No,END QUESTIONNAIRE,2379
1,1642616606725,19/01/2022 18:23:26,1642616605705,0,19/01/2022 18:23:25,70408,19,questionnaire-vssi,,18653474,5ddedc1ac5faa2e4d356d45d,5521598,,complete,,61e855d7c8a2a43d70ee901e,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616609602,19/01/2022 18:23:29,1642616608750,0,19/01/2022 18:23:28,70408,19,questionnaire-vssi,,18653474,5ddedc1ac5faa2e4d356d45d,5521598,,complete,,61e855d7c8a2a43d70ee901e,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1366x768,1366x625,,goodbye,1,No,END QUESTIONNAIRE,3045
1,1642616621784,19/01/2022 18:23:41,1642616619463,0,19/01/2022 18:23:39,70408,19,questionnaire-vssi,,18653483,615ddcbe6b2ef828956206f5,5521584,,complete,,61e855c788cfd57e4c4d4237,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,2048x1280,1914x1144,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616626127,19/01/2022 18:23:46,1642616623848,0,19/01/2022 18:23:43,70408,19,questionnaire-vssi,,18653483,615ddcbe6b2ef828956206f5,5521584,,complete,,61e855c788cfd57e4c4d4237,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,2048x1280,1914x1144,,goodbye,1,No,END QUESTIONNAIRE,4384
1,1642616656832,19/01/2022 18:24:16,1642616654322,1,19/01/2022 19:24:14,70408,19,questionnaire-vssi,,18653507,5e307a080551ae02939239f3,5521605,,complete,,61e855ef21773db0f9450756,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x746,,goodbye,1,No,BEGIN QUESTIONNAIRE,
2,1642616659146,19/01/2022 18:24:19,1642616656656,1,19/01/2022 19:24:16,70408,19,questionnaire-vssi,,18653507,5e307a080551ae02939239f3,5521605,,complete,,61e855ef21773db0f9450756,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.71,1536x864,1536x746,,goodbye,1,No,END QUESTIONNAIRE,2334
